id,xcenter,ycenter,sky_center,aperture_sum
1,6480.181456019346,-32.655982977365056,"258.71694945608044,56.51796270038886",0.0
2,6597.136364297725,130.2305067631769,"258.7449049843085,56.34826101083725",196532.41687841952
3,6714.10624629116,293.1394377671477,"258.77261274969237,56.178553248637485",3277653.1801528027
4,6833.246333884667,454.50686669812876,"258.795336712242,56.00860034624876",4521874.233086584
5,6950.243477747365,617.4566272332058,"258.82258021019044,55.83888134330258",4084343.606601556
6,7069.081176321422,782.9711420705862,"258.85000695819446,55.6665042930851",4233352.536801515
7,7186.101962283866,945.9562620795032,"258.8767766532617,55.49677308887971",4956254.078660501
8,7303.132791119071,1108.9564126567925,"258.90331649649147,55.32703625982787",14726220.975479236
9,7455.247838318068,1316.257529640845,"258.93235459586225,55.109318785171304",4281452.187621662
10,7572.298267069715,1479.2869661336508,"258.9584019359982,54.93956986672889",3668383.5901009645
11,7689.355647576922,1642.3267733191228,"258.98423020624386,54.769815393242006",3999968.6448767874
12,7808.248149742891,1807.9231670862082,"259.01024109552145,54.59740290782215",3996098.8220433663
13,7925.31655227158,1970.9793848912082,"259.0356374423459,54.42763748106974",3511317.503191944
14,8042.388905424672,2134.041467821457,"259.06082415623115,54.257866787366325",4326872.221032049
15,8161.293628687843,2299.655993996891,"259.08619295986995,54.08543799307636",3524326.6550040334
16,8278.371048453104,2462.7255367594003,"259.11096625614607,53.91565677657133",4857257.98228711
17,8428.377848826492,2671.6603171320994,"259.14241411957084,53.69811715623106",4340077.086292121
18,8545.456150992984,2834.7310161775877,"259.1667337145887,53.528324431043956",3530787.098844393
19,8664.362562274382,3000.347754297838,"259.1912344634584,53.35587361749811",5234677.312268251
20,8781.437357106463,3163.4130367444113,"259.21516524922924,53.18607106567527",5825495.9240288865
21,8898.508974879112,3326.473467707774,"259.2389072145612,53.01626367357744",3735831.6241471805
22,9017.405534284784,3492.075177928986,"259.26282957958756,52.8437982103007",4940051.107792086
23,9134.467689151144,3655.121241212032,"259.2861988911909,52.67398136250382",3828281.1157059213
24,9251.523665712013,3818.157947236885,"259.30938717071257,52.504159920770135",3947913.5758561757
