id,xcenter,ycenter,sky_center,aperture_sum
1,-809.2163630726654,5168.10278448791,"267.4531848600075,58.85330859227824",nan
2,-710.1558182384515,5021.741339095224,"267.15371542363556,58.782622759569605",nan
3,-611.0482564933845,4875.417676372947,"266.85546904018463,58.71124610527988",nan
4,-514.603692858419,4727.741327380634,"266.5562759643656,58.6415917289449",nan
5,-415.40427293715493,4581.490639095182,"266.26046872081514,58.568842811155676",nan
6,-314.6087661970314,4432.991525237558,"265.96130071724644,58.494264594993034",nan
7,-215.31923514573373,4286.81252472417,"265.6679795844946,58.4201565745059",nan
8,-115.98624955894866,4140.668491472138,"265.37589607794877,58.345381582622174",11616.428463920587
9,8.636099525307145,3952.078966401194,"265.00122066933346,58.25099168721933",1858834.99061597
10,108.06571738483672,3806.0116493120745,"264.71195250818243,58.17470777885368",3171559.5776513456
11,207.53657812377332,3659.977286873981,"264.4239280494104,58.09777238422634",3241759.1089619934
12,308.603145025756,3511.694287782029,"264.13267765492736,58.01897292722245",3865991.9312100783
13,408.1549560591484,3365.724621736092,"263.84716405163874,57.94073880701085",4066491.2373619396
14,507.74581731621856,3219.786237400823,"263.56289778455,57.86186752494318",3653110.08427583
15,608.9320879971438,3071.598894382169,"263.2754671494843,57.78111651412096",4377231.914566438
16,708.5995570988553,2925.7217125863485,"262.99371688531534,57.70097524898892",5024312.459538684
17,836.3523521908328,2738.859630160462,"262.6345495396589,57.59738449205055",4972637.542385429
18,936.1029771107255,2593.0489550689426,"262.3556484954934,57.5158289777491",4511218.575265764
19,1037.4483235270163,2444.988837836947,"262.07366792393816,57.43237249251083",5845640.097912745
20,1137.2692843481336,2299.2344817370317,"261.7972840124634,57.34958771129025",3426347.1269477666
21,1237.1240947560646,2153.507145543872,"261.5221481620747,57.26620006109702",3186323.330742595
22,1338.5730100061392,2005.5299340944525,"261.243990180595,57.180897214198694",3297254.85601214
23,1438.4938003186635,1859.8554036856217,"260.97136790169327,57.09630856192545",5903320.05697538
24,1538.4462379691895,1714.2062065981936,"260.69999121213567,57.01113103346941",11370789.425931342
25,1669.265338946178,1529.0267306661008,"260.35657408267707,56.898848184912936",3352704.2105073943
26,1769.286964824113,1383.4334043861904,"260.0880448550009,56.812350025156206",3758899.474506174
27,1869.337963733196,1237.863337884221,"259.8207561360179,56.725277952337244",3382548.983755642
28,1970.9813714660927,1090.0422608203785,"259.55055955298803,56.63626280466751",4120475.668220817
29,2071.0890295458685,944.5178396109877,"259.2857667740919,56.548048043439735",6031028.107895193
30,2173.9323399684436,800.4129309131276,"259.02472490768577,56.45700487527082",2647827.1443142244
31,2274.093065567656,654.931369066454,"258.7624096396692,56.367679901381784",577450.7031845096
32,2374.2795172437327,509.4701595542683,"258.50132449967964,56.277803650034194",0.0
33,-637.3970541132694,5259.201328759578,"267.59311007092657,58.699301914419216",nan
34,-536.767292375619,5110.592142044885,"267.29004348553303,58.62781470783265",nan
35,-437.63982531638703,4964.306150134367,"266.9928552139165,58.556734098608324",nan
36,-341.17746572962005,4816.666432231302,"266.6947220179206,58.48738089984993",nan
37,-241.96113592192705,4670.451013399274,"266.399939504989,58.41493388139666",nan
38,-142.70129129218822,4524.270324396809,"266.1063725652662,58.34181301402236",nan
39,-41.846564906246385,4375.840318031444,"265.8094651625601,58.266864641240474",2882519.1766202683
40,57.498814778909946,4229.7279112531805,"265.51835618591804,58.19239983970874",9307299.490505105
41,182.13423564268214,4041.1773810332847,"265.14492417065463,58.09841365071356",5398210.678916198
42,281.5728295628769,3895.1389470121258,"264.8565929263563,58.02244588479419",4829346.821987921
43,381.05116842343614,3749.1322589058564,"264.56948895591364,57.94582912340353",3855015.1127850562
44,482.12379698221594,3600.8761292331837,"264.2791566817549,57.86735576702493",3551648.937880553
45,581.6800666289764,3454.931700855471,"263.9945306488411,57.78944512169727",3476367.7440107013
46,681.2738883619386,3309.01734518083,"263.7111357252344,57.710899628755115",3539273.514039702
47,782.4616323034606,3160.8531687451687,"263.42457351628656,57.630481807366046",3984216.073318146
48,882.1290420899768,3014.997578591213,"263.14366211835824,57.55067082210444",4144767.9645712855
49,1009.8795716456971,2828.161393456371,"262.78554621020294,57.44750635986456",3508653.419827292
50,1109.626719433044,2682.369551772596,"262.5074476738275,57.366285931724775",4949203.719844909
51,1210.9670008806143,2534.3273246866065,"262.22626598250434,57.283171831673094",4636601.0537457885
52,1310.7814647720807,2388.5893650440503,"261.9506528347462,57.200726144276665",10575455.864195803
53,1410.6282801061188,2242.8772163771605,"261.67627213980444,57.117679494687025",12184719.288810534
54,1512.0675419744075,2094.9141924287187,"261.39886523641223,57.03272487321507",4054386.801854645
55,1611.977317688928,1949.2524130632432,"261.12696694885705,56.94848090313052",4593423.747716827
56,1711.9172427923459,1803.6147583965871,"260.8562989417141,56.863649804443185",6375565.354566522
57,1842.7187617095556,1618.4478445039636,"260.5137479901528,56.75181009760018",3847012.586664663
58,1942.7244593071928,1472.8632908929299,"260.2458929060434,56.66566211888268",3662373.62211871
59,2044.3212987646175,1325.026511087401,"259.9751069399423,56.5775822651361",6244217.518275048
60,2144.3822090910658,1179.486158394951,"259.7097210870016,56.49028548673644",4449785.65163262
61,2244.4694230577043,1033.966867383126,"259.44555769071553,56.40242552463915",4249596.349496184
62,2347.2914358274684,889.8653554286229,"259.1851109687709,56.311735182981174",7162814.770593784
63,2447.4287241823295,744.3864961655017,"258.92339597649215,56.22276778623708",4447713.9376174295
64,2549.1554784382415,596.6540874795091,"258.65883600516923,56.131847381570985",2273947.2554922984
65,-463.99178029935683,5348.005211749319,"267.72718926074367,58.54406525071664",nan
66,-364.8890450766603,5201.72009653503,"267.4298443212964,58.47397330111307",nan
67,-264.19273409311154,5053.185444126146,"267.1290710548489,58.402085131553",nan
68,-167.71247172720814,4905.581474150663,"266.8319913191523,58.333030122989776",nan
69,-68.47915195313726,4759.400457255297,"266.538227653505,58.260882048285126",585131.2797351872
70,30.796184877702217,4613.252963592332,"266.24566314794686,58.188062936422",4551902.267445299
71,130.11293887562533,4467.138257062826,"265.9543001540144,58.114577344312785",12379976.747768864
72,231.0229648732793,4318.773791950289,"265.6596175766118,58.039266288420094",6725500.740133942
73,354.1180535269559,4132.542748702541,"265.29192272265794,57.94685691922429",4147640.540161044
74,455.11923179081623,3984.2507252179603,"265.00002382604976,57.87002542935302",3751541.040127168
75,554.6051260588683,3838.270851688283,"264.71383614941914,57.79372436436367",4031104.4544954593
76,655.6838943131252,3690.0407195095904,"264.42441799792493,57.71557413221221",39811605.039774165
77,755.2446989634664,3544.120671532442,"264.1406758541417,57.637984038202276",54628274.41180911
78,854.8415571180958,3398.229488484868,"263.8581488422388,57.559761418595464",6574933.74737904
79,956.0308509979959,3250.0876104848676,"263.57245182574417,57.479673834035125",4487276.680910995
80,1055.698276519578,3104.2527584239174,"263.29237635441,57.40019023083345",4075182.316134721
81,1183.446636048017,2917.441378770694,"262.9353084657784,57.2974483652256",5374461.6587590445
82,1283.1903807398226,2771.6675197548725,"262.65801003693076,57.21656014934904",7127619.238092789
83,1384.5256719579988,2623.6423200411327,"262.37762502393025,57.13378552757834",6689402.554698627
84,1484.3337120618576,2477.919908594766,"262.1027807003406,57.051676084214485",3653986.2979998603
85,1584.17260502011,2332.2221004210405,"261.8291534442713,56.96896759838363",3601828.2465842883
86,1685.6022868864875,2184.272404961769,"261.55249609994854,56.884358335068725",3454851.5722691426
87,1785.5011198067655,2038.6225320790868,"261.2813205252089,56.800456238322795",3930536.1051770784
88,1886.9901623355877,1890.7203804496594,"261.00715172510616,56.71464406510518",3829958.024724408
89,2016.2126050373004,1707.8401604277742,"260.6696745306845,56.60456869530284",6168965.402356778
90,2117.7650234841503,1559.9890327431203,"260.3983278192828,56.517422943297504",5510315.910845976
91,2217.781645078888,1414.4335799121286,"260.1323759893219,56.43104277327874",5635439.834177172
92,2317.823678088214,1268.898726977195,"259.86763404638236,56.34409658823686",5327600.433799103
93,2417.89051695807,1123.3837292882836,"259.60410002186063,56.25658871907041",3729790.39957093
94,2520.6912743393937,979.2847929008312,"259.34424884706704,56.16624855993375",10001904.95328575
95,2622.3696822174606,831.5348292791268,"259.07906404842316,56.07624711345647",3902703.9537720345
96,2722.5066810005624,686.0760563392496,"258.81917000738883,55.98707751065721",3641484.6313321427
97,-290.55009669771516,5436.802382701858,"267.8601274067923,58.38869989985461",nan
98,-191.4257734582079,5290.554422743242,"267.5638441493601,58.318895082084715",nan
99,-92.25891398901149,5144.340636574353,"267.2687343988416,58.24840835580312",376606.3305454306
100,5.78920153213312,4994.487168683217,"266.9680998492627,58.17854182264664",1896746.9987042358
101,105.03959106305228,4848.339686961922,"266.67534912651604,58.106689769041",5431478.574852764
102,204.3304994639402,4702.224523058004,"266.3837814218547,58.0341694903252",3706114.2302057385
103,303.6613267160774,4556.140940700349,"266.09339912276084,57.960985484206105",5080006.477889465
104,400.3189731992761,4408.697565015833,"265.8020257236489,57.889538755261235",4234600.681071337
105,527.6923708274571,4221.61213133637,"265.43321728700147,57.79396541086081",4556560.285388209
106,628.7028350080245,4073.3477033835948,"265.14226097769307,57.71744903768958",3754331.93802317
107,728.1963618212085,3927.393785105929,"264.8569853491726,57.641460762413345",3449965.8182105846
108,827.7259190070799,3781.468630252169,"264.5729064873615,57.56483306310163",21358317.692364506
