id,xcenter,ycenter,sky_center,aperture_sum
1,124.89051995158206,6053.439441401646,"170.6078853047321,-58.445928704865274",11265246.513304483
2,242.65170102768752,6198.792244811835,"170.35282275483343,-58.33999780377433",19818529.401299134
3,360.4217416129013,6344.134194519079,"170.09928905621118,-58.23356282403117",15025249.983490935
4,476.2750554113545,6491.629872436414,"169.85044436847497,-58.124557054463274",15523290.242811445
5,594.0661481551269,6636.946828369671,"169.59994807631148,-58.01713492463074",20444974.181067742
6,713.7103474755459,6784.519484086391,"169.3470762157366,-57.90753377063034",12504951.915018314
7,831.5274754439533,6929.805929117793,"169.09960065147615,-57.79913089896375",11971519.672402576
8,949.3589645699435,7075.075042580847,"168.85361122434801,-57.690249090909596",11536319.082808126
9,1098.4256520612566,7263.340648161093,"168.54378889881446,-57.548012005318036",12026329.139691144
10,1216.294246297428,7408.566013964386,"168.30116047248052,-57.43806146288792",12836196.065005787
11,1334.180947594637,7553.769974776464,"168.059988997751,-57.327647697886356",15519446.67637073
12,1453.9292862690208,7701.219510332915,"167.81653139537607,-57.215039453840554",28550411.113968085
13,1571.8558146708738,7846.376416323897,"167.57826964253238,-57.10370634302742",15158985.724541018
14,1689.8037208505107,7991.507995437278,"167.34143808426424,-56.99192417944968",13938510.601372149
15,1809.6176569402237,8138.880111962057,"167.10236051723786,-56.87794044018367",11659973.00184325
16,1927.6120815097265,8283.956850020333,"166.8683841855916,-56.765266999245455",11736159.359788457
17,2078.8287210078856,8469.793631718085,"166.57065107093362,-56.62026853485971",13079195.526942007
18,2196.881145569511,8614.80196506155,"166.33986196624784,-56.50660848316598",14617486.502706228
19,2316.8060364550392,8762.043224511603,"166.10688148021757,-56.39073725993298",14333062.241014972
20,2434.914440379378,8906.985521824794,"165.87886913987055,-56.276224628315546",14976120.962006593
21,2553.0523225206757,9051.893178191753,"165.65222055889345,-56.16129551064943",13918442.93676249
22,2673.067375795659,9199.028191308833,"165.4234171414622,-56.044148771558724",22295260.163272686
23,2791.2679513021935,9343.862037265633,"165.1994896989596,-55.92839321598461",16831565.12232914
24,2909.5012915891566,9488.657328779227,"164.97689845611453,-55.81223399620082",13000305.95683916
25,3062.9654668444223,9671.951553219016,"164.6904050812442,-55.664762018928506",5699384.773175394
26,3181.277471909856,9816.654188527074,"164.47082691601736,-55.547691551150315",666477.0863495745
27,3299.625983223597,9961.314248276072,"164.2525547501634,-55.43023077051113",0.0
28,3419.8619444399064,10108.189419978033,"164.03219986723744,-55.31053953924167",0.0
29,3538.2869816751045,10252.759260100633,"163.81653298843406,-55.19230462176734",nan
30,3658.6790432796242,10395.117397780687,"163.5989047923562,-55.07560187743893",nan
31,3777.184371057222,10539.593018622127,"163.3857858519775,-54.9566085948103",nan
32,3895.7317377975805,10684.019657513942,"163.17392712288063,-54.837244757463985",nan
33,246.31205717057492,5912.615384391798,"170.40942391373238,-58.581159178979426",13141784.51319509
34,365.9307337303853,6060.2201526037825,"170.1499733442034,-58.47318686619875",13024042.523414418
35,483.7169674123961,6205.544348911352,"169.89607117558882,-58.366367339061355",12554334.342577213
36,599.5858098187673,6353.023957973994,"169.64689687219334,-58.256981626707386",15259974.906323576
37,717.3910115743683,6498.325616869237,"169.39606299193008,-58.1491745016087",16865887.355386768
38,835.2074634175087,6643.613936888977,"169.14674739364884,-58.04087816340372",12815696.321131676
39,954.8776068409998,6791.1576178435125,"168.89508091622216,-57.93039395033072",20318176.38509501
40,1072.7200581550896,6936.415138904727,"168.648798895555,-57.8211267100644",13964005.429027408
41,1221.7996470868447,7124.6681443824455,"168.33864555170882,-57.67840076906902",12099918.856398758
42,1339.676821053819,7269.884720911829,"168.09575712837065,-57.56806472743204",14187048.060564684
43,1457.5710565036152,7415.081121338813,"167.85433962973016,-57.45726547539163",13736140.542782195
44,1577.3259762837647,7562.524236288538,"167.6106462391218,-57.34426576882429",16903159.154531818
45,1695.257929679547,7707.6760590639315,"167.37216597135009,-57.23254729884614",13274010.530677488
46,1813.2102135784626,7852.803784018555,"167.13512922426696,-57.120379889186836",16144754.39562211
47,1933.0275232214312,8000.173244207908,"166.89585668510526,-57.00600503247068",16851283.337175425
48,2051.024212739468,8145.2486055124855,"166.66170138527843,-56.8929466686076",12538905.461844621
49,2202.2422208374387,8331.085419517693,"166.36375749233133,-56.74745532693741",12367947.747766469
50,2320.2945159622222,8476.095180044878,"166.1328180800502,-56.63341086512401",17400068.54301948
51,2440.2181999075246,8623.339147045313,"165.89969745401567,-56.517149503510694",13066464.318217937
52,2558.324355797969,8768.285348939597,"165.67155924969796,-56.40225303755723",12875216.919102315
53,2676.4589377124585,8913.198138937869,"165.44479663070805,-56.28694041169783",12229468.355160197
54,2796.4695614292104,9060.339623856646,"165.2158892953992,-56.16940453274168",15864483.8323072
55,2914.6647135465337,9205.181080595677,"164.99187105519883,-56.05326620467834",17782532.46854393
56,3032.891575889811,9349.985211768366,"164.7692002529978,-55.93672461468317",11470450.669924188
57,3186.345512863942,9533.292100840934,"164.4826001668711,-55.78875772581426",10580099.153610384
58,3304.648630423576,9678.006378901486,"164.26296748909883,-55.67130586522464",9395541.485234246
59,3424.836553189896,9824.939525141113,"164.04125058702164,-55.551619792497156",3326993.273284971
60,3543.211974702023,9969.568811558629,"163.82426265433415,-55.43338658341316",0.0
61,3661.624933160714,10114.1539990108,"163.6085727365846,-55.31477178001111",nan
62,3782.003456597953,10256.528255805326,"163.3909112829681,-55.19768392687521",nan
63,3900.4945837526793,10401.021680289337,"163.17778939634402,-55.07831183447725",nan
64,4020.8791120811943,10547.723964057213,"162.96263723130235,-54.95669585285431",nan
65,369.5503786902118,5774.0336777782695,"170.20545122480755,-58.71443311789074",11860397.785212317
66,487.3458763217168,5919.348632864871,"169.94960117529632,-58.60773897753725",11582153.741641333
67,606.9888854055753,6066.925593448574,"169.69135091124224,-58.49886111012559",12029557.636476336
68,722.8731859418976,6214.389110993932,"169.44185306403082,-58.38909290218292",11739679.171316678
69,840.6924424630279,6359.675469635534,"169.19068755789363,-58.2808982023324",14883677.200364474
70,958.5219060367699,6504.9497180163735,"168.9410556084745,-58.1722141408043",11120338.530923642
71,1076.3628069192969,6650.210737874779,"168.69294793203437,-58.06304563579276",13609665.453547003
72,1196.0575559367662,6797.726291349305,"168.44251495597703,-57.95168088891394",12688764.953087399
73,1343.3081556186203,6983.697705869261,"168.13584994368296,-57.81018936458484",14731376.215549441
74,1463.0356608439051,7131.174460162323,"167.88889726094473,-57.697739106804406",15487998.793330073
