id,xcenter,ycenter,sky_center,aperture_sum
1,937.2420999596516,5877.699534501372,"170.6078853047321,-58.445928704865274",7823329.9265073305
2,1035.3764175230722,5998.826870676529,"170.35282275483343,-58.33999780377433",13749642.786385624
3,1133.5181180107502,6119.945162099233,"170.09928905621118,-58.23356282403117",10426181.31135312
4,1230.0625461761283,6242.858227030345,"169.85044436847497,-58.124557054463274",10785792.919950275
5,1328.2217901292715,6363.955690308059,"169.59994807631148,-58.01713492463074",14187571.947018532
6,1427.9252895629543,6486.932903405326,"169.3470762157366,-57.90753377063034",8676164.179099478
7,1526.1062295366273,6608.004940931494,"169.09960065147615,-57.79913089896375",8314189.85388573
8,1624.2991371416192,6729.06253548404,"168.85361122434801,-57.690249090909596",8011372.602991523
9,1748.5213767177138,6885.950540134244,"168.54378889881446,-57.548012005318036",8349591.011550496
10,1846.7452052478561,7006.971678303656,"168.30116047248052,-57.43806146288792",8911535.199425474
11,1944.9841229955305,7127.974978980387,"168.059988997751,-57.327647697886356",10734129.742196474
12,2044.7744052241837,7250.849591944096,"167.81653139537607,-57.215039453840554",19869820.24569643
13,2143.046512225728,7371.813680269914,"167.57826964253238,-57.10370634302742",10514174.17024308
14,2241.336434042092,7492.756662864398,"167.34143808426424,-56.99192417944968",9672132.051228732
15,2341.1813807835197,7615.56675996838,"167.10236051723786,-56.87794044018367",8098588.821431754
16,2439.5100679247716,7736.464041683611,"166.8683841855916,-56.765266999245455",8148166.808512365
17,2565.5239341732376,7891.328026431738,"166.57065107093362,-56.62026853485971",9071499.340533761
18,2663.900954641259,8012.1683042179575,"166.33986196624784,-56.50660848316598",10151386.883150585
19,2763.838363712532,8134.86935375967,"166.10688148021757,-56.39073725993298",9942344.986432971
20,2862.2620336494815,8255.654601520662,"165.87886913987055,-56.276224628315546",10408730.911145857
21,2960.7102687672295,8376.410981826462,"165.65222055889345,-56.16129551064943",9667633.07170469
22,3060.7228131630486,8499.023492757362,"165.4234171414622,-56.044148771558724",15469221.136403602
23,3159.2232927518276,8619.718364388027,"165.1994896989596,-55.92839321598461",11714494.47587451
24,3257.7510763242967,8740.381107316023,"164.97689845611453,-55.81223399620082",9166665.896547686
25,3385.6378890370183,8893.126294349182,"164.6904050812442,-55.664762018928506",8366462.171952514
26,3484.2312265915466,9013.711823772563,"164.47082691601736,-55.547691551150315",10349684.76930182
27,3582.854986019664,9134.261873563395,"164.2525547501634,-55.43023077051113",8109648.20783386
28,3683.0516203665884,9256.657849981693,"164.03219986723744,-55.31053953924167",7779432.790862555
29,3781.73915139592,9377.13271675053,"163.81653298843406,-55.19230462176734",10292743.509973627
30,3882.0658693996866,9495.764498150573,"163.5989047923562,-55.07560187743893",7507493.52012858
31,3980.8203092143513,9616.16084885177,"163.3857858519775,-54.9566085948103",7970897.983757996
32,4079.6097814979835,9736.51638126162,"163.17392712288063,-54.837244757463985",8285631.464613318
33,1038.4267143088123,5760.3461536598315,"170.40942391373238,-58.581159178979426",9134351.712752016
34,1138.1089447753202,5883.350127169819,"170.1499733442034,-58.47318686619875",9044780.287108272
35,1236.2641395103296,6004.453624092794,"169.89607117558882,-58.366367339061355",8723478.22468269
36,1332.821508182306,6127.353298311661,"169.64689687219334,-58.256981626707386",10599233.028763691
37,1430.9925096453067,6248.438014057698,"169.39606299193008,-58.1491745016087",11716068.33992472
38,1529.1728861812571,6369.5116140741475,"169.14674739364884,-58.04087816340372",8887618.540433813
39,1628.898005700833,6492.46468153626,"168.89508091622216,-57.93039395033072",14114864.282717979
40,1727.1000484625743,6613.51261575394,"168.648798895555,-57.8211267100644",9694324.925793437
41,1851.3330392390371,6770.390120318705,"168.33864555170882,-57.67840076906902",8403137.082564369
42,1949.5640175448489,6891.403934093191,"168.09575712837065,-57.56806472743204",9850004.528750613
43,2047.8092137530125,7012.400934449011,"167.85433962973016,-57.45726547539163",9530775.590726305
44,2147.60498023647,7135.270196907116,"167.6106462391218,-57.34426576882429",11753186.5582667
45,2245.8816080662887,7256.230049219944,"167.37216597135009,-57.23254729884614",9215247.409649994
46,2344.175177982052,7377.169820015463,"167.13512922426696,-57.120379889186836",11220928.029486118
47,2444.022936017859,7499.977703506591,"166.89585668510526,-57.00600503247068",11675624.657297969
48,2542.353510616223,7620.873837927071,"166.66170138527843,-56.8929466686076",8708168.05114574
49,2668.3685173645317,7775.737849598077,"166.36375749233133,-56.74745532693741",8588104.980628721
50,2766.7454299685182,7896.579316704065,"166.1328180800502,-56.63341086512401",12073137.351664074
51,2866.6818332562702,8019.282622537761,"165.89969745401567,-56.517149503510694",9075778.270745404
52,2965.103629831641,8140.071124116332,"165.67155924969796,-56.40225303755723",8939694.729630318
53,3063.5491147603816,8260.831782448226,"165.44479663070805,-56.28694041169783",8493656.456727639
54,3163.557967857675,8383.449686547205,"165.2158892953992,-56.16940453274168",11022048.211465772
55,3262.053927955444,8504.150900496397,"164.99187105519883,-56.05326620467834",12317082.52543052
56,3360.576313241509,8624.821009806972,"164.7692002529978,-55.93672461468317",7967696.586038602
57,3488.454594053285,8777.576750700779,"164.4826001668711,-55.78875772581426",7348942.517257504
58,3587.04052535298,8898.171982417905,"164.26296748909883,-55.67130586522464",7916971.885721322
59,3687.1971276582462,9020.616270950928,"164.04125058702164,-55.551619792497156",8544833.706905901
60,3785.8433122516853,9141.140676298859,"163.82426265433415,-55.43338658341316",8457826.16362366
61,3884.5207776339284,9261.628332509,"163.6085727365846,-55.31477178001111",11464505.634126328
62,3984.8362138316274,9380.273546504439,"163.3909112829681,-55.19768392687521",12144213.497455856
63,4083.5788197938996,9500.68473357445,"163.17778939634402,-55.07831183447725",6991439.671484368
64,4183.899260067662,9622.936636714345,"162.96263723130235,-54.95669585285431",7209602.578096944
65,1141.1253155751756,5644.861398148558,"170.20545122480755,-58.71443311789074",8238145.909498092
66,1239.2882302680964,5765.95719405406,"169.94960117529632,-58.60773897753725",8045071.870771312
67,1338.990737837979,5888.937994540478,"169.69135091124224,-58.49886111012559",8355725.852060246
68,1435.5609882849144,6011.82425916161,"169.44185306403082,-58.38909290218292",8156255.771017116
69,1533.743702052523,6132.896224696278,"169.19068755789363,-58.2808982023324",10338976.08124917
70,1631.9349216973078,6253.958098346978,"168.9410556084745,-58.1722141408043",7725452.153992314
71,1730.135672432747,6375.008948228982,"168.69294793203437,-58.06304563579276",9446962.543221256
72,1829.8812966139712,6497.93857612442,"168.44251495597703,-57.95168088891394",8810245.927593818
73,1952.590129682183,6652.914754891051,"168.13584994368296,-57.81018936458484",10230062.418881765
74,2052.363050703254,6775.81205013527,"167.88889726094473,-57.697739106804406",10758094.218416085
75,2150.614480721259,6896.802748834228,"167.64724042417296,-57.58655201176936",9543060.28950767
76,2250.4156862911723,7019.666659648617,"167.40331813564143,-57.473158486197036",8913866.357569207
77,2348.696790677266,7140.622275043319,"167.16462623115788,-57.361052372500566",8486869.534371644
78,2446.993964643989,7261.558833348396,"166.92739126218007,-57.248497467545285",9230765.946516724
79,2546.8444894908607,7384.364502743329,"166.68793091298312,-57.13372924511398",10461355.787150599
80,2645.1769080207864,7505.259489608459,"166.45360377757305,-57.02028378010208",8159009.504160801
81,2771.1929999367962,7660.123528180925,"166.1554583553234,-56.8742968215482",9001528.847716728
82,2869.569761859869,7780.966184833814,"165.92437593525472,-56.75986585125405",9385871.77149282
83,2969.5051162365,7903.671747408897,"165.6911226514254,-56.643212255746775",8641091.13755835
84,3067.9249973630695,8024.463503463014,"165.46286601364298,-56.52792992713551",9015900.945278209
85,3166.3676904136037,8145.228440692721,"165.23599684631472,-56.412231799299256",8971598.957780153
86,3266.37281030411,8267.851739063924,"165.00699325664542,-56.29430479073832",10296513.189116072
87,3364.8642100973184,8388.559296634166,"164.7828918167163,-56.17778176555132",9492306.698696101
88,3464.920660274596,8511.122076639836,"164.55667954729503,-56.059025811851924",8494464.43682893
89,3591.2508684351583,8662.00308685355,"164.273451997532,-55.91239167943388",7703941.186725322
90,3691.3698941535813,8784.492244296154,"164.05035056198784,-55.792712308800596",7658559.9159006905
91,3789.977493527639,8905.06321549699,"163.8320190660524,-55.67448186928636",9143474.931813741
92,3888.6144570706306,9025.59938910479,"163.61500566173748,-55.55586650711223",8067083.119000812
93,3987.2818193658663,9146.09983740267,"163.3993005571712,-55.4368701046184",8280550.861312991
94,4087.585950704934,9264.758502845587,"163.18161357226072,-55.31939540087462",11935676.753569823
95,4187.859641958847,9387.065912902995,"162.9651768194403,-55.19776874511615",9416612.760675585
96,4286.624166227199,9507.452551399027,"162.7533594987714,-55.07764109419331",6842419.904394894
97,1243.805209493999,5529.353849751865,"169.99994917818356,-58.84739739586632",8201458.694707872
98,1341.9824107192444,5650.433805414643,"169.74372589529386,-58.74031363968467",8861088.171552071
99,1440.1643756720828,5771.507803588322,"169.48907952322014,-58.63272491075235",7857560.517990419
100,1538.2816133993624,5896.272402260073,"169.23529797292375,-58.52088656608583",7854273.966416125
101,1636.4759949447553,6017.331615046385,"168.98380702629174,-58.41230170664002",8808817.88147928
102,1734.6780131880828,6138.381759996268,"168.73386503922922,-58.303227373114915",8335566.1068508215
103,1832.888693044656,6259.421905316651,"168.4854624930202,-58.19366852245398",8858266.419805614
104,1929.5032320601608,6382.257165605479,"168.2418484163498,-58.08159800822296",7620015.259947491
105,2055.362836687313,6537.307474598085,"167.92777055335523,-57.939926905277716",12584722.859859487
106,2155.1429357309216,6660.197319813016,"167.6805672915538,-57.82708026525967",10167350.309520446
107,2253.4005555182166,6781.1817155896315,"167.43867801945345,-57.71550297032871",10517486.664654389
108,2351.6715627240214,6902.1502746202805,"167.19827841082952,-57.6034674315871",9658432.717544837
109,2451.492692873349,7024.991651300936,"166.95563749388592,-57.489217227372215",9502791.487043347
110,2549.7934274197196,7145.924996460123,"166.71821148296928,-57.37627257889774",8880137.399518628
111,2649.646675169028,7268.728451300154,"166.4785707007152,-57.26110874412396",7825727.067437417
112,2747.9808946598278,7389.622290362282,"166.2440790723684,-57.14727400195954",8584369.818838133
113,2873.998017105904,7544.486355814461,"165.94574163663168,-57.00078869062858",12333898.801909117
114,2972.374586060515,7665.330202228056,"165.71452371498276,-56.88596911704093",10577798.525798287
115,3072.308848924346,7788.038021968738,"165.48114546347236,-56.76892119630409",9540514.552053312
116,3170.72677302158,7908.833033119945,"165.25277802569755,-56.65325098137961",9042436.782702949
117,3270.7049318298305,8031.489055141026,"165.02227468397297,-56.53534825589611",8146922.424269416
118,3369.1679782672045,8152.230943758526,"164.79671802288385,-56.41884524089801",9183542.330813756
119,3467.654777414765,8272.944846181392,"164.5725411787144,-56.30193560019599",9716155.15345603
120,3567.7056565122075,8395.5151187916,"164.34626392625074,-56.18278747234653",7895378.844110735
121,3693.9615255290523,8550.09780004193,"164.06280645965654,-56.031892291472765",8872650.216989247
122,3794.1387690785527,8668.905619408612,"163.839809428376,-55.91558920261286",8212984.833595532
123,3892.737990498138,8789.487337047765,"163.62144996662823,-55.79697430506041",7239781.815106317
124,3991.365695362897,8910.035281216617,"163.40441909848053,-55.677975052331554",7379004.541422195
125,4090.0229175304853,9030.548524105385,"163.18870684451883,-55.558595346765294",7499414.926283027
126,4191.857986547172,9151.1028670868,"162.96766246374824,-55.4388577773745",7462331.728721182
127,4290.577313745071,9271.543152138587,"162.75457882080278,-55.31871734365847",7560635.1319233235
128,4389.329034684868,9391.945672656726,"162.542784471869,-55.19820825311698",7237537.620902603
129,1346.4670211288258,5413.824801067953,"169.7929019874625,-58.98004766219139",7980022.325435205
130,1444.6584651500743,5534.888913521392,"169.53631147103056,-58.87257158929834",8416946.86632103
131,1541.2496248184102,5657.753639669653,"169.2845719148393,-58.762532690353574",8294188.198758899
132,1639.4498029462407,5778.807309553359,"169.03116308514618,-58.65405744789786",8233491.0220522005
133,1737.655709902469,5899.853884339499,"168.77932859080371,-58.54508752846612",7988259.967786399
134,1837.4030282105118,6022.783623218006,"168.5251605634055,-58.433913786006514",9375372.588288913
135,1935.6235933741646,6143.813061938655,"168.27646980983755,-58.32396207289077",10986399.75723066
136,2032.2474250610958,6266.638972861395,"168.0326061362869,-58.21150391479645",10167291.107791696
137,2158.1173100981346,6421.678373903162,"167.71819977130906,-58.069329570777505",10200054.484359318
