id,xcenter,ycenter,sky_center,aperture_sum
1,878.4723203873164,5320.200717816294,"170.89799175147868,-58.99801243286832",11000037.20757
2,964.1154026589143,5453.834392312123,"170.66320053017455,-58.877951183319354",9830677.677639611
3,1049.7616673530856,5587.463833370336,"170.43003658804426,-58.7574673480099",9124650.395205643
4,1133.641071049979,5722.663438406908,"170.20211908475358,-58.63469037686955",11827942.094221134
5,1219.2965805082276,5856.281345213399,"169.9721693894788,-58.51338206161364",10787070.531577092
6,1306.2968266831467,5991.979237652232,"169.74025098362787,-58.38976051535749",14464117.222151836
7,1391.96591275747,6125.5806802256675,"169.51348630790483,-58.26763420476173",11816293.853712434
8,1477.643044330212,6259.171936624789,"169.28828233259955,-58.14510937206576",9090621.006799418
9,1585.6581394719028,6431.895322170987,"169.00563005153904,-57.985706921522144",8549062.424038464
10,1671.357365343515,6565.459443391584,"168.783935785198,-57.86229600079287",9065395.294609025
11,1757.0679252093978,6699.009635940054,"168.5637589191905,-57.73850137790973",10626322.380934384
12,1844.1303083179478,6834.631072124936,"168.3416816191573,-57.612384300016394",19448634.192320757
13,1929.8666588471128,6968.14959307193,"168.1245239549678,-57.487829735022295",15564572.04888792
14,2015.6172419907011,7101.650578039035,"167.90884486170296,-57.362904748672726",9501587.509051448
15,2102.7233053501104,7237.218444588834,"167.69129588372178,-57.23565298022613",8753374.083628662
16,2188.505594726881,7370.680595802793,"167.47855807715302,-57.10999423015676",9305999.778362835
17,2298.4394045345243,7541.648036488963,"167.2080906987932,-56.94847177172971",9463533.34248335
18,2384.2623184199706,7675.060407013138,"166.99861983893712,-56.82200305177812",13220211.93488258
19,2471.4460975552156,7810.533043937357,"166.78732066564524,-56.69320169316108",9611902.78133336
20,2557.3090989270354,7943.8962814056895,"166.58068221559878,-56.566034954425746",10332637.37721207
21,2643.193491191847,8077.233414012044,"166.37543022706487,-56.438527859629446",8723924.257547114
22,2730.442696847518,8212.625960374979,"166.1683777197973,-56.308684158220146",16244586.227598945
23,2816.3731176983806,8345.906806414889,"165.9658831486822,-56.18050294783838",13645986.67161202
24,2902.3278459032153,8479.15794640035,"165.76473824705215,-56.051993068975264",10976245.379577938
25,3014.267863140849,8648.26480467911,"165.50537912245287,-55.88860663672532",8175800.798462911
26,3100.281619577965,8781.44381354759,"165.3072716087013,-55.75935516163796",9296843.127707997
27,3186.3229806257086,8914.589411935396,"165.11047434211025,-55.62978707168361",9686753.402180528
28,3273.737820153675,9049.779718988248,"164.9119314908339,-55.4978743973445",9941916.90796829
29,3359.837498137646,9182.853921514086,"164.71774005205103,-55.367679525058584",11569677.799448557
30,3447.7408925374293,9314.316078400716,"164.52124600932322,-55.23889035568504",7573220.589997875
31,3533.9023879172373,9447.315059266853,"164.32959715062717,-55.10808173652864",7807386.050120107
32,3620.0963998912857,9580.27472895927,"164.13920020439863,-54.976974199524854",8910247.33574707
33,990.4352847776081,5217.325327943211,"170.66844919571028,-59.12090824550361",11101890.996351937
34,1077.4329965035035,5353.033050138288,"170.42993444267825,-58.998562585237934",9713967.306314554
35,1163.0947285858038,5486.649568859066,"170.19674288734367,-58.87767410508133",9090966.576497683
36,1246.9890999111371,5621.837476798475,"169.9688356642832,-58.75449970295373",8923278.981559044
37,1332.6586214796612,5755.444248093113,"169.73888439144517,-58.63278848120185",12099734.83510762
38,1418.3336084414905,5889.044268720831,"169.5105328137478,-58.510669983561066",9962236.557604745
39,1505.3539796092819,6024.723853809896,"169.28023645111077,-58.386231239004765",12975927.146060966
40,1591.042922789929,6158.306669554172,"169.05506839425536,-58.263306246632155",11462484.017707108
41,1699.0723315788705,6331.020879018348,"168.77250326885223,-58.103399013250666",9635502.800406875
42,1784.7817063817547,6464.578598660364,"168.55087156616634,-57.97959016374806",10340094.85830942
43,1870.5016844347092,6598.123283559945,"168.33076861110916,-57.85539860898813",10541403.191668328
44,1957.5728846115553,6733.740041079261,"168.10877774202837,-57.72887943607962",9050069.210190266
45,2043.3171794595587,6867.254856343764,"167.89171612771858,-57.60393000253054",8989227.016546752
46,2129.0749751733147,7000.753029681137,"167.6761437121961,-57.47861119664677",9468301.994781122
47,2216.18761442465,7136.318955809066,"167.45871371971492,-57.350960544905945",15528056.220942842
48,2301.9756402664243,7269.780097532761,"167.24610331539253,-57.224910136594474",11925509.577395063
49,2411.9157286837235,7440.747551473715,"166.97581367294262,-57.06288746716828",9365486.323182475
50,2497.74270629211,7574.160952178071,"166.7664925793623,-56.9360296052669",12501445.399628788
51,2584.9298613183055,7709.635550536086,"166.55535518288278,-56.80683417540843",10132304.631175302
52,2670.7954463599367,7843.001620320962,"166.34888532885125,-56.67928057400999",10074184.365900183
53,2756.6816872170675,7976.342479293843,"166.1438109642398,-56.551387764995276",10377866.061679982
54,2843.932017381486,8111.739725326097,"165.93694788755192,-56.42115350951757",10542481.162317008
55,2929.862803470262,8245.026099691331,"165.73464852266468,-56.29258893278625",9844611.759758748
56,3015.8171600873466,8378.283661926907,"165.5337072526331,-56.1636968675256",9381062.722373178
57,3127.755321461109,8547.39972275889,"165.27460008130603,-55.999815599028594",7955576.64996256
58,3213.76701975764,8680.587192939212,"165.07671486881276,-55.87018464594559",8224236.360501775
59,3301.150175756182,8815.8224608839,"164.8770866934623,-55.738205359467216",10501858.212907882
60,3387.2168252907973,8948.942869289142,"164.68184636301245,-55.60794267781134",8473461.473420214
61,3473.3122145000643,9082.02822795953,"164.4879002160565,-55.47737199581408",10253880.260296673
62,3561.2102607585757,9213.502102557428,"164.29163859799002,-55.34820126404969",12341159.190992832
