id,xcenter,ycenter,sky_center,aperture_sum
1,869.7013745122786,4961.745440291326,"171.02191347640186,-59.35772475653534",38195538.43071973
2,946.7733565635299,5102.4316745687875,"170.80210225602602,-59.22930980989892",36444767.43998346
3,1023.8459401135074,5243.1167835723345,"170.58394228468126,-59.10052714428463",34395159.5787816
4,1099.0556930657262,5385.217533164235,"170.3713340860874,-58.96964490068113",35898285.84688312
5,1176.1323243571646,5525.897135737154,"170.15642445011218,-58.84014659991808",38061444.92268722
6,1254.416982828213,5668.770063949474,"169.9397973405833,-58.708262311910964",41619981.55667777
7,1331.501935260263,5809.439053073022,"169.7281021145971,-58.57805442244708",37711606.785499334
8,1408.5923363368233,5950.10065213983,"169.5179783640781,-58.447501336402674",38810615.152559005
9,1505.5084398095742,6131.729256201101,"169.25492520745598,-58.278029097830945",35180761.330410466
10,1582.614956054712,6272.369877231202,"169.04832353610084,-58.146710325592",35034178.55767864
11,1659.7301877743903,6412.999169950601,"168.84324247224015,-58.01506010161147",36477418.91732074
12,1738.0602575711491,6555.812914226073,"168.63649789460888,-57.88101782190299",41842184.88689176
13,1815.1959925731467,6696.415586293124,"168.43443596746908,-57.748711970066815",37015912.17147459
14,1892.3433348006188,6837.003131706258,"168.23384947096332,-57.61608694881394",35481875.62327376
15,1970.7090350331523,6979.770692822499,"168.03162368052256,-57.481066939681924",36916800.77771226
16,2047.882775307845,7120.324075883442,"167.83396622882074,-57.347810426963726",36366165.220541626
17,2146.783026668506,7300.380396664245,"167.5828073210548,-57.17662669130284",34963590.28700199
18,2223.991370726101,7440.888976751351,"167.38839394201875,-57.04267428830994",38809503.836793885
19,2302.423269194979,7583.5708305303115,"167.19237434239145,-56.90632291850432",35514345.33861613
20,2379.666369808916,7724.034402221991,"167.00076573684714,-56.771771802181775",35534219.318496905
21,2456.9282086061953,7864.473823506531,"166.81052745512133,-56.63692907151956",34918693.678793386
22,2535.417418016915,8007.081565339901,"166.61870513678832,-56.49968464898941",37111020.52619548
23,2612.7199348591857,8147.4684443271835,"166.43118711047848,-56.364264992608355",40549809.92580881
24,2690.0441003216806,8287.827380082617,"166.24499812767533,-56.22856435882391",34578649.31282422
25,2791.016226412978,8466.201228157459,"166.00455455007673,-56.05589628457294",33601349.570949815
26,2868.39339431233,8606.491801635835,"165.82135356099516,-55.91956168437022",34311951.40625964
27,2945.7954912508294,8746.750527917025,"165.63943781779355,-55.78295700715052",35022869.10918008
28,3024.4333552528815,8889.166625898066,"165.45598213023604,-55.643945086592296",35156063.55855614
29,3101.8883993541,9029.356891041141,"165.2766180879252,-55.50680638729955",38741580.924351364
30,3181.238625557853,9168.094055126898,"165.0947220486764,-55.37098200464596",37348973.860579014
31,3258.750193201777,9308.21174590446,"164.91784492802267,-55.23332035230478",33368799.568457033
32,3336.291592738983,9448.291371598632,"164.74218897648993,-55.09540456570556",33781510.665036075
33,987.7747645394279,4868.8423161826595,"170.77323508896194,-59.471830005219275",37113210.974977106
34,1066.0675608976408,5011.7141875425905,"170.55017521948514,-59.34099654885258",35267872.30736503
