id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,3779.838743113338,13750.895385692987,"161.49523725928773,64.65004809869541",30371.866396166384,0.06700362113888231,332605.97533341177
2,3755.102594489812,13747.568689148631,"161.15933362180348,64.5590279063292",29522.65991202742,0.06513017981691233,323306.2126111528
3,3730.398035311693,13744.188863916756,"160.82567561909093,64.46724904090257",27238.003306739032,0.060089980323854174,298286.6623276121
4,3705.805239879479,13740.495513308531,"160.49090235182118,64.37694984295004",22152.48655641079,0.048870780516052974,242594.55448168697
5,3681.1662318076596,13737.009961461044,"160.1617011612085,64.28367062536263",57239.23199689388,0.12627593460916056,626833.739399873
6,3656.175809015189,13733.415975581354,"159.82963533509167,64.18818223135386",28547.045225456357,0.06297786833286116,312622.1384043228
7,3631.6033035014043,13729.8242752361,"159.5049148223143,64.09343083776251",33422.912740170956,0.07373455925919019,366018.3521626201
8,3607.0644415927964,13726.18012484104,"159.18240664262925,63.99796127574682",23454.752031221986,0.05174371895711993,256855.82090314332
9,3575.759714261496,13721.174910772475,"158.76898082938226,63.876795150698925",22628.811682999134,0.049921605246563576,247810.84844394156
10,3551.300138817547,13717.411787513947,"158.45147513939543,63.779709088484125",27663.149330481887,0.061027898419897295,302942.4877563701
11,3526.8754540706086,13713.596676350455,"158.13615445617154,63.681930487059006",28410.510630875826,0.06267665825481408,311126.93157689704
12,3502.105238068414,13709.668889537032,"157.81813401994387,63.58192318935796",24161.450379040092,0.05330277192209199,264594.9598212646
13,3477.752030000127,13705.749429105177,"157.50718951794366,63.48277210033919",24322.986244678497,0.053659137507281816,266363.95858614694
14,3453.434850859978,13701.778420263985,"157.1984017276541,63.38295160777118",27679.249847345054,0.061063417900918585,303118.80646015983
15,3428.774951844067,13697.692751174844,"156.8869861263095,63.28089392978792",29098.462111234665,0.06419435360322095,318660.7712863888
16,3404.5314782706664,13693.618288630327,"156.58251448691394,63.17974693412578",31260.20859360695,0.06896340007582978,342334.31797641906
17,3373.5238046410177,13688.32322739188,"156.1955151039053,63.04920796226196",24617.531799718738,0.05430893684857449,269589.56251632376
18,3349.3654929604527,13684.132418891026,"155.89587663104743,62.94659596520688",24339.5215010643,0.05369561607069498,266545.03817492985
19,3324.8684957388778,13679.82418398581,"155.59370625258245,62.841735593642184",23126.622749984264,0.05101983028469376,253262.4375332198
20,3300.786923682668,13675.531243489837,"155.298290203683,62.737860672209216",25290.636411495507,0.05579387839961522,276960.81237569003
21,3276.7439190764653,13671.187866356324,"155.0049515645958,62.63336992561837",24585.77416718006,0.054238876077493337,269241.7808486769
22,3252.3650637394403,13666.725162633826,"154.70914385965406,62.52662347789638",22210.936919733882,0.04899972833731775,243234.6514664453
23,3228.4008018819295,13662.280606953202,"154.4199567436914,62.42091291666802",41358.27388447896,0.09124082393117404,452919.44999434793
24,3204.4760875001775,13657.786094829302,"154.1328111011918,62.31460765690389",25282.484385602176,0.05577589414908065,276871.5385560363
25,3173.7767901899024,13652.211105302951,"153.771461772607,62.17547876631686",24561.072697266936,0.05418438196409102,268971.2720697478
26,3149.942441865598,13647.602998988963,"153.48893329674377,62.067849985044106",29806.07113918662,0.06575541562703291,326409.88317259133
27,3126.148626118933,13642.945459745042,"153.20840468932252,61.95964863717194",40720.223031654954,0.08983321476246796,445932.07808089105
28,3102.0248733851276,13638.164728190819,"152.9255272576461,61.849177644815846",52964.55310448259,0.11684553078538847,580021.2148186684
29,3078.3137319337693,13633.40806886624,"152.64899167957196,61.7398427049095",27752.88478026539,0.06122586452450192,303925.19149962754
30,3054.534867723458,13628.857592530654,"152.37803627924595,61.62792536731923",33497.28793099895,0.07389863897175603,366832.8438557969
31,3030.9058882370828,13624.002987449205,"152.10541465433798,61.51749908456064",34425.56540334225,0.07594651944302336,376998.52251516795
32,3007.3188784416143,13619.09978187807,"151.8347273616595,61.4065328422562",56637.69492927194,0.12494887879855611,620246.2343560325
33,3775.3323291131182,13767.644999049244,"161.71085256036653,64.50717912822361",25107.6198063083,0.0553901239804388,274956.57543889823
34,3750.131684301896,13764.258277990306,"161.37079717724754,64.41520947554285",27785.322144031525,0.06129742485616479,304280.416986002
35,3725.350948412992,13760.869813561458,"161.03820358920893,64.32389195667002",28591.485644474626,0.06307590870220536,313108.8107977474
36,3700.6828100260027,13757.167553857573,"160.70449627195458,64.23406051942442",22308.443336352706,0.049214838034974076,244302.4560056113
37,3675.9683805721634,13753.672767262087,"160.37629490438903,64.14124605203352",45907.86906091124,0.10127772280201303,502742.61598919274
38,3651.287133887763,13750.12495477396,"160.0502886455798,64.047698694886",34512.059077993035,0.0761373338411778,377945.7251876065
39,3626.254595413491,13746.467568809434,"159.72142794029887,63.95194752617214",51395.29919397831,0.11338358698784132,562836.1258076443
40,3601.641478885591,13742.813295416085,"159.39982524492936,63.85694698105239",23561.45634972304,0.05197912022082461,258024.3527761734
41,3570.2427112382356,13737.794723071474,"158.98754879783132,63.73638861530352",25021.61190083623,0.05520038124161499,274014.69248337677
42,3545.709806410565,13734.02081621372,"158.670879602676,63.63977428852746",59527.257488280535,0.13132356622920244,651890.1827617608
43,3521.212202252502,13730.19463392572,"158.35636587936546,63.542468435339075",26045.26098510623,0.057458661800568335,285224.79717802117
44,3496.368352381529,13726.255310436016,"158.03913520887644,63.44294221867091",26379.15447628498,0.05819526694336271,288881.30510685255
45,3471.943066731501,13722.324204475575,"157.7289394007604,63.344265653917155",267305.26201212406,0.5897043095958939,2927292.192834018
46,3447.554235157466,13718.341267719674,"157.42087202730406,63.24492043899692",34349.60609276593,0.07577894499101441,376166.6829353955
47,3422.8220042123667,13714.243197083302,"157.11015958782122,63.14334615202064",34041.26569265127,0.07509871272996044,372790.0099915236
48,3398.507749635728,13710.156242730585,"156.806352644148,63.04267570585007",23627.01057124138,0.05212373992135192,258742.2449695909
49,3367.4100305530646,13704.844771650762,"156.42016548390825,62.912748051294045",22282.349338080734,0.049157271853449105,244016.69748052134
50,3343.1819467374535,13700.640841829514,"156.12113069822118,62.81061366156042",34197.311622686684,0.07544296692362688,374498.88780888385
51,3318.6145472966327,13696.319001162221,"155.81954677156472,62.70623870927164",23930.807290792465,0.052793948331810545,262069.1595191075
52,3294.464113535332,13692.01239095502,"155.52468231709292,62.60284201015474",26163.56717634201,0.05771965804994427,286520.38255992334
53,3270.35270523114,13687.65507479621,"155.23187005652125,62.498829684936794",26169.568021073937,0.05773289656224662,286586.0985349922
54,3245.904850398427,13683.177940499803,"154.93657157138236,62.3925692675681",24980.12702356279,0.05510886111691914,273560.38658438664
55,3221.873120326414,13678.718908600877,"154.6478612667,62.28733732390262",27885.789150878787,0.06151906593597018,305380.643306156
56,3197.881407727311,13674.209656566114,"154.36116846483174,62.18151068110402",26074.295305132866,0.05752271464979776,285542.75552159606
57,3167.0962999727344,13668.615332808404,"154.0003333583917,62.042988877685126",33613.2198639065,0.07415439735055018,368102.4284481311
58,3143.1960317174035,13663.991890215939,"153.7182047294516,61.93583842905775",51840.30820417404,0.11436532497962662,567709.4731988665
59,3118.9642983768463,13659.245344961968,"153.43369152305834,61.82642750468931",23421.901149362326,0.05167124635983231,256496.06693020757
60,3095.147061905367,13654.521926687166,"153.1555362519735,61.71812956688217",29715.833914805204,0.06555634255341238,325421.68443513906
61,3071.3714645757245,13649.74916050796,"152.87933347512174,61.6092721896726",27787.449639081955,0.0613021183402752,304303.7154411261
62,3047.5279362417514,13645.18224952714,"152.60865868985184,61.497825763094674",73090.65702618659,0.1612458921126015,800424.6084469539
63,3023.8354808825643,13640.311034281896,"152.336327558919,61.38787621385958",28997.45325421542,0.06397151714335021,317554.61109959043
64,2999.8162950631267,13635.31370691051,"152.06169987986945,61.27565555121287",25930.964143306017,0.0572065106095464,283973.1186657883
65,3770.4112357468875,13784.341471914333,"161.91903677281405,64.36260942252424",70758.48393222317,0.15610086610794532,774884.6993598406
66,3745.52084297689,13780.998850812273,"161.58529475229258,64.27251555573358",21173.35537981987,0.04671071127480783,231871.97076814604
67,3720.2746103391564,13777.54900103802,"161.2485697943928,64.18024109004229",28542.936330154538,0.0629688036655631,312577.1413958552
68,3695.5304839586515,13773.837740848077,"160.915930156272,64.09087283942674",27547.853971406817,0.06077354439180528,301679.8743609214
69,3670.739988065121,13770.333626100233,"160.58873134204742,63.99851867126139",108290.99285522103,0.23890163888448088,1185907.7354225628
70,3645.9830619075055,13766.776187687607,"160.2636964337778,63.9054331738707",32884.00236246735,0.07254566469787269,360116.67956023995
71,3621.260094126679,13763.165560468638,"159.94081868013177,63.81162406914309",78658.77111583948,0.17352975383037422,861401.6980139776
72,3596.186064644651,13759.444227624328,"159.6150976555605,63.715616743602745",30895.924961060286,0.06815975099533293,338345.0039408326
73,3565.077223097389,13754.470887684809,"159.20892768998843,63.59715735449396",44947.03359935433,0.09915801588630341,492220.3908596101
