id,xcenter,ycenter,sky_center,aperture_sum
1,677.7632513102153,2140.2512034932124,"135.2255900847296,-47.432834407317706",164831.76803765836
2,689.6865629290451,2340.5185774414163,"135.18828162257338,-47.26416703279322",3501113.3943621903
3,701.60708649144,2540.809219125141,"135.15121018052477,-47.09548787038586",4875609.763178358
4,710.8671586903247,2741.340775760428,"135.11822962889713,-46.926405051134054",6020674.004028165
5,722.7827251813087,2941.673119510902,"135.08161216899,-46.75770354210949",11926495.263626661
6,734.8822852250169,3145.1543038852997,"135.04465648159035,-46.58635419589297",4348564.603926262
7,746.7937655012001,3345.521696605981,"135.00849686351,-46.4176293361214",7251688.432051804
8,758.7035151983109,3545.9034521833246,"134.97256036036603,-46.24889339432338",6521865.9791068155
9,771.302598027125,3802.880299913297,"134.93063556892363,-46.03229850881091",30029015.204385463
10,783.2091848726513,4003.2888386043414,"134.8951869758478,-45.86353839223357",5905429.696103477
11,795.1147451086963,4203.706145351721,"134.85995293361864,-45.694767428415894",4123283.2457046495
12,807.2054947366541,4407.262114605815,"134.8243853583579,-45.52334845315582",5564033.021194997
13,819.1096240804018,4607.691697521199,"134.7895761054668,-45.35455601645581",6257272.241127146
14,831.0133566670902,4808.124634947149,"134.75497388264608,-45.18575316586927",4645918.65835418
15,843.102903442973,5011.691086008875,"134.72004038888994,-45.014302118593264",4614303.371133656
16,855.0064839147972,5212.12554890695,"134.6858481014697,-44.84547851561008",5550656.561066626
17,870.2583260185056,5468.929129940838,"134.64233092869645,-44.62915853008889",4991554.281860688
18,882.1627602724839,5669.356565926248,"134.6085910842544,-44.46031206924657",5257844.053106373
19,894.2539403895798,5872.909574627875,"134.5745231916285,-44.28881729088954",5658130.485910848
20,906.1600357307548,6073.323067998215,"134.54117323950948,-44.1199511741043",5391576.589604934
21,918.067276686093,6273.727046663125,"134.5080133565115,-43.95107540898905",6556398.621670926
22,930.1619532639384,6477.250706537249,"134.4745276641031,-43.77955125369041",5319833.536787779
23,942.0721352287037,6677.629993222996,"134.4417443111673,-43.610656476460136",3963268.2684747432
24,953.9840934612348,6877.994352599208,"134.40914455215804,-43.441752430519564",5201249.73209499
25,971.9079910364931,7134.4675065518595,"134.36402007410007,-43.22569804366748",3555981.1376000685
26,983.8248194065263,7334.79107046764,"134.33184148284795,-43.056772304038645",5511295.350297401
27,995.7441289692547,7535.094117724537,"134.29983964603443,-42.88783744852656",7475205.345031716
28,1007.8524094685172,7738.50365323374,"134.26751671312223,-42.716254114736785",4556524.434215856
29,1019.7773198654877,7938.759249962669,"134.23586522176453,-42.547301785482446",4593101.8773332685
30,1034.364298307286,8138.770041126178,"134.2008136484025,-42.3787026593961",2182712.2143025594
31,1046.2956646044054,8338.971689466729,"134.16951180040567,-42.20973217746322",201774.50317183512
32,1058.2305723413347,8539.143923870262,"134.1383769198284,-42.04075308064754",0.0
33,847.6719756055836,2123.1132729545743,"134.97699763126738,-47.46050265933788",2650164.767710949
34,859.7843316306971,2326.507707307515,"134.93985999884012,-47.28912223032024",6501190.915406655
35,871.7075143669081,2526.796532067536,"134.90352815562946,-47.120367063109036",5023311.210899136
36,880.9702149660034,2727.3264413303136,"134.8712863446892,-46.95121670355035",5741402.7490391135
37,892.8884116376184,2927.657216489047,"134.8353997582884,-46.782440102116354",5803493.207104602
38,904.8044519750865,3128.006290201509,"134.79973746194145,-46.613652401496765",5268640.508621357
39,916.9047071852724,3331.5030093260566,"134.76374469282766,-46.44221592829031",5671880.237296353
40,928.8170412941718,3531.883570848262,"134.72852633206114,-46.273406262848546",6217624.054472182
41,941.4194065930751,3788.8591156827206,"134.6875189577727,-46.05672544157132",29768961.530476697
42,953.3285451714783,3989.2667437170535,"134.65277912653445,-45.887892582853425",5990314.852883129
43,965.2366421802917,4189.6832640509765,"134.618249824424,-45.719049308504644",6228710.779975539
44,977.3299529546243,4393.238561782095,"134.58339393046055,-45.5475573294778",4987140.808737039
45,989.2365890612546,4593.667608733544,"134.54928144697638,-45.37869343703057",4171395.6610727995
46,1001.14281359078,4794.10013445816,"134.51537210494934,-45.20981954740993",5647469.677100356
47,1013.2348761246185,4997.66629457997,"134.48113838277573,-45.03829677265127",4554293.165527068
48,1025.1409188042594,5198.100596254782,"134.44763126887813,-44.86940295598033",5266118.208730091
49,1040.3958941522878,5454.904152335401,"134.40498648482023,-44.65299359662581",4675658.318937071
50,1052.3027571678704,5655.331710593509,"134.37192329577385,-44.484077833370215",5844536.00819823
51,1064.3963890580658,5858.8849706782585,"134.33853887828926,-44.312513070949215",6149027.84203127
52,1076.30488378283,6059.298836805314,"134.30585823126052,-44.143578437331115",5447965.546000554
53,1088.214509605597,6259.703312494617,"134.2733640668667,-43.974634538443404",6665698.331391341
54,1100.3115934936195,6463.227604350392,"134.24055086387997,-43.80304157243125",8930199.675940325
55,1112.2241311768212,6663.607638524374,"134.20842611826686,-43.6340794204666",3964944.918612125
56,1124.138430719744,6863.972869641373,"134.1764814960894,-43.465108369984954",5868182.849696471
57,1142.0652867397557,7120.447276657914,"134.1321885946202,-43.24896114323702",4001939.325493813
58,1153.9844220403716,7320.771995740595,"134.1006573900687,-43.0799692483422",5297752.756538201
59,1166.0923228947745,7524.205955384166,"134.06881098336058,-42.90832784847886",4315437.411577814
60,1178.0166185815565,7724.487284423727,"134.03762736740634,-42.73931879463516",5380126.938308982
61,1189.9437928755437,7924.744410901764,"134.00661327084458,-42.570301373678",6149411.436849386
62,1204.5329924442904,8124.756810634441,"133.9721931808438,-42.401630076125244",3929224.56312596
63,1216.4665926052057,8324.960237094754,"133.94152230343616,-42.23259520809936",2901632.6838842174
64,1228.5902697152883,8528.26190193158,"133.9105398295145,-42.06091065646389",159364.3606737112
65,1017.7687344724168,2109.1015012243347,"134.72759000782602,-47.48501907501503",4519902.572748299
66,1029.6973362425256,2309.364607529257,"134.69176843850596,-47.31620038778928",4210123.053448265
67,1041.8094382728832,2512.7809703642947,"134.6556206981053,-47.14473276009273",6050186.0520996405
68,1051.0746625638822,2713.3092300206554,"134.62411993592195,-46.97551633380257",4940910.467811643
69,1062.9953849531312,2913.6384363192215,"134.5889665654634,-46.80666609106884",3953334.0142400204
70,1074.9139357868435,3113.9860653825635,"134.55403318296672,-46.63780520059476",4710123.721147506
71,1086.8305396618944,3314.3505753127038,"134.51931710174134,-46.46893359504701",4180777.2754954393
72,1098.9315392763551,3517.8608117101285,"134.4842783938694,-46.297412888927795",5562524.295107003
73,1111.3509287630782,3771.7038413439823,"134.4447245510963,-46.08328695777412",4879399.224559898
74,1123.448638881404,3975.241768743639,"134.41016231924974,-45.91174377277798",8140786.320377061
75,1135.3591682287224,4175.657502556093,"134.3763399076297,-45.742829590600806",5383203.6450146595
76,1147.4549340812296,4379.212128680509,"134.34219784954578,-45.57126602487853",4467936.74745731
77,1159.363972510595,4579.640639611392,"134.30878422846064,-45.40233206459972",5427824.831092781
78,1171.2725845373816,4780.072753603543,"134.2755698324769,-45.23338851663902",4840725.270656098
79,1183.3670567442077,4983.638622779856,"134.24203795149168,-45.06179540935162",6404993.338208598
80,1195.2754571695768,5184.072763251679,"134.20921802186172,-44.89283274535924",5247767.932350958
81,1210.533431903746,5440.876294442184,"134.1674481643237,-44.676335752611934",5126928.593336726
82,1222.4426191914736,5641.303975051401,"134.13506358192575,-44.50735203745197",5610313.554144131
83,1234.538596717362,5844.85748662487,"134.10236459535847,-44.33571865558371",6887709.439454943
84,1246.44938630451,6045.271725638456,"134.07035515396507,-44.16671684193938",4972437.444666189
85,1258.361292454912,6245.676698507416,"134.0385285841879,-43.997706139393806",4831976.181557966
86,1270.4606774591743,6449.2016225285715,"134.0063897512511,-43.82604570678635",4543891.728867496
87,1282.3754662784713,6649.582404397404,"133.9749254407388,-43.65701749692057",5248451.187321836
88,1294.4782095982582,6853.079038135394,"133.94315029044705,-43.48533953972327",3989172.337263837
89,1312.2216831526193,7106.4241698433725,"133.90017876721038,-43.27174234342055",4872371.928257346
90,1324.3293136696416,7309.880032779887,"133.8688155152515,-43.100043965839156",6430486.660416642
91,1336.253143579801,7510.185304717146,"133.83810612641395,-42.93097867503692",4793537.994101947
92,1348.179612674533,7710.468039645035,"133.8075648905491,-42.76190546409156",4287812.09001199
93,1360.1089461032293,7910.726696238944,"133.77718987523482,-42.59282422860394",6908791.707263093
94,1374.7002622271557,8110.740706873097,"133.74340298539238,-42.42408201951241",4220796.790528394
95,1386.8225176556498,8314.073944172811,"133.71289664599522,-42.25234176662401",5154350.892850057
96,1398.7618162952676,8514.249510148064,"133.6830214797317,-42.083235710649205",4085123.57394736
97,1187.8668189987757,2095.087012280561,"134.4779570335589,-47.509018034171234",5806300.764548932
98,1199.797886546724,2295.348174912278,"134.4428843915994,-47.340125819014716",5251065.619782099
99,1211.7261165795462,2495.6330055074495,"134.40803545143876,-47.17122321753925",8007947.58474005
100,1221.1801203930058,2699.2892986550246,"134.37673523782317,-46.99930297437944",6371658.033068019
101,1233.103264005455,2899.616935842661,"134.34231738259174,-46.83038055042655",4311871.469260766
102,1245.0242208506147,3099.963120030131,"134.30811518171873,-46.66144792218186",4405951.437125259
103,1256.9432155780523,3300.3263093313626,"134.2741259986567,-46.49250501697482",4197306.180315404
104,1266.202342374475,3500.923550297286,"134.24416880516355,-46.32318895478647",6274588.710993013
105,1281.468995043047,3757.677069327512,"134.20117910255115,-46.10670524300596",4369856.83212108
106,1293.56908472244,3961.2140705946576,"134.16734112549784,-45.93509104886863",9631882.658076482
107,1305.4819419457763,4161.629017786334,"134.1342277147303,-45.76610736985658",3861028.3264910043
108,1317.393937882547,4362.05133009452,"134.10131430383643,-45.5971142304781",4791221.921867588
109,1329.4913930655857,4565.61094708759,"134.0680889021934,-45.42547101071817",5185860.446659642
110,1341.4022881177393,4766.042649320719,"134.035571478892,-45.25645919309961",3806477.333697859
111,1353.4990638861805,4969.608227549266,"134.00274346994817,-45.0847971562509",4790816.545014657
112,1365.4097175699226,5170.042206840059,"133.9706126976213,-44.915767019097544",37639790.23894526
113,1380.6705578005326,5426.845713203999,"133.9297202567304,-44.69918414324685",3557736.420489578
114,1392.5819648468737,5627.273516241246,"133.89801619551218,-44.53013383427329",3628380.427501002
115,1404.6801818473164,5830.827279406421,"133.8660045587756,-44.358433205181846",10708784.591914393
116,1416.593161752592,6031.241891432066,"133.83466818768724,-44.18936555571866",4366571.054905579
117,1428.693410710826,6234.7786091689195,"133.80302563489434,-44.017647509738545",3933771.5230466034
118,1440.6088235729776,6435.172917993547,"133.77204843521105,-43.848562839196866",10552038.800118087
119,1452.525758924684,6635.554447755521,"133.74124635292276,-43.67946989540333",5436060.069537898
120,1464.6306675202018,6839.051968302674,"133.7101401785285,-43.50772655835819",3931111.5652054753
121,1479.9043733019394,7095.747715711486,"133.67115004477708,-43.29105376987136",4370128.6759528965
122,1494.486559374683,7295.855380713177,"133.63729233731274,-43.122277925485534",5335332.485353274
123,1506.412472279981,7496.16193460231,"133.60723036064147,-42.95314942739653",5175983.179531195
124,1518.3410100353049,7696.446075744104,"133.57733318009093,-42.7840133493772",4863473.379655996
125,1530.2723978185832,7896.706262803491,"133.54759890019963,-42.61486958316396",4276933.638974004
126,1545.0522308397913,8099.85039151694,"133.51398622995038,-42.44341461815107",4969992.989849431
127,1556.990037031118,8300.056931669707,"133.48458466807475,-42.274254663259384",5518703.84698557
128,1568.931345394622,8500.234402731989,"133.45534046561457,-42.105087088172006",6031710.531129295
129,1357.9658481773486,2081.069962935455,"134.22810371308523,-47.53249856435418",5509744.994016167
130,1369.8992769366546,2281.3291815924076,"134.19378235022145,-47.36353431528472",5009913.711964507
131,1379.1723197167348,2481.831258378437,"134.16356185456337,-47.19419950711695",3858492.3451771988
132,1391.100246246514,2682.1367796001996,"134.12966449342238,-47.02521621908629",8550728.83765946
133,1403.0257426432277,2882.4625416120257,"134.0959810888408,-46.85622323623499",4171592.9473807104
134,1415.1353220790434,3085.9375783922883,"134.06198766703912,-46.6845796915308",4156669.0682254797
135,1427.0566031586377,3286.299446873649,"134.02872757800117,-46.51556693926388",5561138.0872124145
136,1436.3179915978371,3486.8955309217054,"133.9994983861474,-46.34618940014074",17643498.75025162
137,1451.5875343868224,3743.6476985429717,"133.9574311706698,-46.12961732589247",7092287.615832562
138,1463.68989751034,3947.183773560296,"133.92431958122543,-45.95793357159833",4298688.127247583
139,1475.6049781262327,4147.597934038953,"133.8919172428331,-45.78888181472585",5808434.615295575
140,1487.5191825389657,4348.01958395748,"133.8597108426727,-45.619821001648226",4464348.014352721
141,1499.6188654799075,4551.5786554700635,"133.82719938842044,-45.44810945962575",5915667.281999162
142,1511.5319390658092,4752.009945921252,"133.7953809269998,-45.279030768717355",4551907.383294737
143,1523.6309122653088,4955.575233202294,"133.7632587833851,-45.10730121298381",3591250.119155912
144,1535.5437147014518,5156.009051335572,"133.73181910485613,-44.938204984326305",4050129.1795648136
145,1550.80728651564,5412.812532936504,"133.69180652455915,-44.72153798513292",4383806.903006526
146,1562.7208087898389,5613.2404584778,"133.6607848634979,-44.55242244772599",4426949.855622462
147,1574.8211590864166,5816.794473335303,"133.6294624598279,-44.38065595094857",7567668.988362943
148,1586.736224749307,6017.209458495309,"133.59880098900462,-44.211523816986755",4201923.3307004
149,1598.8385771418102,6220.74668246631,"133.56784013693476,-44.039740650186275",4015892.8736393293
150,1610.7560464256826,6421.14161504447,"133.5375305036146,-43.87059222205906",11969574.66431687
151,1622.675023691334,6621.523892891162,"133.50739240918116,-43.70143587517027",7025232.313024624
152,1634.7819912860805,6825.022300465614,"133.47695697472125,-43.52962850309449",4922730.428985745
153,1650.058273318512,7081.719349818344,"133.43880786034023,-43.31287544121831",5637561.313498062
154,1664.642432342338,7281.828133160362,"133.40560000095584,-43.144029796137495",5521609.029844485
155,1676.570323513436,7482.135969291546,"133.3761871012169,-42.974839393593804",6236153.823162487
156,1688.68726446343,7685.5508488275655,"133.34647982811973,-42.80299792693831",8655402.281813411
157,1700.6206477957498,7885.81218026185,"133.31739038553795,-42.63379280586301",4564601.608693188
158,1712.557095541546,8086.0481129221625,"133.28845864285566,-42.464580214670065",4487383.938326742
159,1727.1552620936795,8286.037359952546,"133.25611225695354,-42.29569188201267",4593425.198770362
160,1739.0984752767104,8486.216736502345,"133.2275005789984,-42.12646405961412",5071427.8879940435
161,1528.0666291298294,2067.0504121126423,"133.97803333842418,-47.555459874384646",4849871.618256781
162,1540.0023145200284,2267.30768650164,"133.9444655657307,-47.38642509391444",5705147.858808605
163,1549.2773825346026,2467.807997205999,"133.91499767350703,-47.217028243412905",4048376.2523662117
164,1561.2075367028856,2668.111822649531,"133.8818448157328,-47.04797528102885",4483308.688747487
165,1573.1352454967628,2868.436013150405,"133.84890146669346,-46.878913056266995",5046891.252217582
166,1585.0607477170279,3068.779260164989,"133.81616501368697,-46.709841291057",4807978.045606709
167,1597.1705192564564,3272.270128555963,"133.7831263233972,-46.53811848659901",5372169.2646763995
168,1606.4340645881762,3472.8650535878414,"133.7546271921567,-46.36868093645936",5983635.928868346
169,1621.7063635922718,3729.615869631898,"133.71348514403766,-46.15202234951688",6436973.651058198
170,1633.6246764421153,3930.0195763477864,"133.6815987209189,-45.98291294265015",16114651.202063544
171,1645.7280935215458,4133.564391972627,"133.6494127991299,-45.81115208434958",4800926.817458337
172,1657.6444019035866,4333.985379438855,"133.6179154138053,-45.642025016787855",7731087.300831188
173,1669.7462064607626,4537.543905429597,"133.5861199149086,-45.47024658612116",8755250.89185271
174,1681.66135406779,4737.974784080066,"133.55500236587483,-45.301102425914756",4490300.439782577
175,1693.7624185466739,4941.539780416805,"133.52358804205412,-45.12930676961989",4151620.667553365
176,1705.6772652093223,5141.973437417605,"133.49284135605166,-44.96014583855169",4757585.733170757
177,1720.943434669413,5398.7768943195215,"133.45371103256292,-44.74339648517194",8142796.7462560935
178,1732.8589676216998,5599.204942439495,"133.4233736138846,-44.57421709194384",6617292.916825131
179,1744.961345017406,5802.759209087453,"133.39274228963563,-44.40238611427307",4480013.147773946
180,1756.8783918596346,6003.17456750036,"133.3627575131545,-44.23319085419003",4433722.874557759
181,1768.9827414568008,6206.712297848206,"133.33248016007923,-44.06134393905784",5374058.412788668
182,1780.9021625481073,6407.107854342267,"133.30283984064616,-43.89213309778808",4999342.695493898
183,1793.0093574993912,6610.621809202482,"133.2729082675661,-43.72027054351229",6714313.498068739
184,1804.9319973946517,6810.990175268739,"133.24360449381825,-43.551044629983295",4647515.077590841
185,1820.210721550301,7067.68852686133,"133.20629854834414,-43.33421299007942",5729550.54838183
186,1834.7967490379679,7267.798430741678,"133.17374224471655,-43.165298849123516",6543331.497717594
187,1846.9129256130877,7471.237027808416,"133.14453192881956,-42.99340340184761",7100758.804558913
188,1858.845342745331,7671.523858722623,"133.11593017849495,-42.824145177897286",17291301.254325602
189,1870.7805706116624,7871.786723221184,"133.0874846330237,-42.65488011778052",6016509.162966529
190,1882.7188485454135,8072.024313230817,"133.05919346426558,-42.48560790749029",4754010.168605657
191,1897.3189997351246,8272.015287955655,"133.0274816598204,-42.31665285007223",5799975.3848001715
192,1909.2640128331532,8472.196570385528,"132.99950403964957,-42.14736605791341",5735923.709442423
193,1697.9822390982567,2049.8999113152836,"133.7282653152721,-47.58054304553399",7329825.933676136
194,1709.9201091273007,2250.1546146877918,"133.69545013375824,-47.41143958739259",5671917.338166754
195,1719.3836066757958,2453.7823889485435,"133.66622593674344,-47.23933985046868",6746873.217396675
196,1731.3158839042776,2654.084518383623,"133.63381978505373,-47.07021870783277",16379271.831042184
197,1743.2457005302003,2854.407137164036,"133.6016186638011,-46.901088726843895",5276873.897738647
198,1755.173295404949,3054.7489367570115,"133.5696200136552,-46.731949624208674",4284509.745741961
199,1764.6270830851213,3258.457728391511,"133.54116837840334,-46.5598184025333",4866671.976900708
200,1776.5507742583159,3458.832226280811,"133.50955912336948,-46.39066276630086",9257953.504951708
201,1791.8256955490556,3715.58169058974,"133.46934487158643,-46.17391952646637",5066540.13604402
202,1803.7460379508211,3915.984484128867,"133.43817777266912,-46.00474450366234",4351059.578230932
203,1815.851500987099,4119.528499596005,"133.40671815358556,-45.832917406763386",7254218.396917283
204,1827.7698088155653,4319.94882455242,"133.37593174875562,-45.66372551145142",28976289.489542022
205,1839.8736288311902,4523.5068049841875,"133.34485417462292,-45.49188163329863",5264592.4775104765
206,1851.790745931401,4723.937271818323,"133.3144394509918,-45.32267341511632",5229711.383634931
207,1863.7075961296482,4924.37020905638,"133.28420583739606,-45.15345714592832",4294952.532917418
208,1875.8105818718655,5127.935473110824,"133.2536830325133,-44.98158884669734",5108468.962043275
209,1891.0792150225625,5384.738905377804,"133.21543731585066,-44.764758917316904",6204863.672665595
210,1903.1828682229038,5588.2987240621405,"133.18532401590386,-44.59287258766224",4835876.699977353
211,1915.1009523751604,5788.721594684865,"133.1558475120876,-44.42362298302658",4727377.039017897
212,1927.0198758061147,5989.137326466327,"133.12654118933762,-44.254365961978024",4706891.351799683
213,1939.1261163663435,6192.675563329712,"133.09694909872843,-44.08245667780274",5324104.5681426795
214,1951.0473846397408,6393.0717438973115,"133.0679798068582,-43.913184774447",5342433.890519289
215,1963.156440745086,6596.586459886189,"133.038726038026,-43.741260552784304",6230005.180695759
216,1975.0808985244298,6796.955700709882,"133.01008602937864,-43.571974260177",5161446.188770918
217,1990.361930663345,7053.655354828214,"132.9736253606013,-43.35506574576371",5403924.974783332
218,2002.29104574746,7253.9856534517,"132.94534889328966,-43.18576336173019",9494609.065135842
219,2017.06769498603,7457.206282318595,"132.91317444601822,-43.014128769683026",6491659.18648126
220,2029.0018662424295,7657.494522291199,"132.88522153335276,-42.84481159188766",26218217.009017833
221,2040.9388338300737,7857.758920163366,"132.8574214445269,-42.67548789517292",5301954.144168974
222,2052.878837106112,8057.998167852214,"132.8297723896121,-42.5061573618542",4821009.328147977
223,2067.6675115830158,8261.11901296096,"132.79826838133266,-42.33449085721565",5823858.4813965
