id,xcenter,ycenter,sky_center,aperture_sum
1,6301.521021194898,9610.939775467716,"263.14378626982335,59.161134051398705",2884968.173122308
2,6389.923401774145,9479.987045113232,"262.94978829097266,59.02271697515488",3172149.926543971
3,6478.292714828573,9348.994791166439,"262.7573471931193,58.884012551167075",3138919.9231565697
4,6568.376808365565,9219.579348993531,"262.56225781810053,58.7465645826258",3616974.8234453322
5,6656.683205850587,9088.511404704237,"262.37288490069824,58.60729069573061",4939831.490676533
6,6746.338668648228,8955.358434064095,"262.18209244330257,58.46555805854234",3150475.730166431
7,6834.585610970271,8824.218546213493,"261.9957334969794,58.325731318340765",3184332.2245764746
8,6922.804372897267,8693.044945820851,"261.81084452312706,58.185636033014774",3560847.7660561027
9,7037.542208319099,8526.547287384412,"261.5719320683532,58.007260695024364",3476039.7905407813
10,7125.70062905928,8395.300809674542,"261.39034182588284,57.866559798116455",3168672.54381587
11,7213.8341533373205,8264.024267423294,"261.21016716853177,57.725601726514725",3267257.0216270713
12,7303.320278081868,8130.666956797291,"261.02860963395966,57.582181442677076",4381592.086311098
13,7391.406572255262,7999.33335131784,"260.8512394576533,57.44071525112107",2880420.256045583
14,7479.470871851567,7867.973228242268,"260.6752368695855,57.29900198931264",3148431.3138247766
15,7568.889723452084,7734.534565034726,"260.49786791933,57.15482479282263",3367751.821932127
16,7656.912706659248,7603.124424526857,"260.3245746474402,57.01262319277601",2788368.458478116
17,7769.664453387905,7434.7216579582655,"260.1044713926839,56.83008070730521",3242894.695607528
18,7857.645398483034,7303.260648163237,"259.93417017769764,56.6873417896606",3046884.453723436
19,7946.983830131272,7169.724672856875,"259.7625254476364,56.54213659310487",3717862.734388715
20,8034.9318000237945,7038.223790021333,"259.5948038962403,56.39893607238303",3660196.0707060914
21,8122.864901859337,6906.704829582874,"259.4283402863999,56.255510926706116",3353207.182504136
22,8212.157704787955,6773.113623717707,"259.26054866490114,56.10961786327635",2976268.4873727784
23,8300.063720282093,6641.561844778948,"259.0965775928275,55.96574877176765",2644559.0853960216
24,8387.957752238837,6509.995541371412,"258.9338220934455,55.821663670891176",3172180.0104667745
25,8498.810357268429,6339.790722262034,"258.7310437384983,55.63532716090415",3611251.755520408
26,8586.680790995571,6208.195859790107,"258.57100099268223,55.490764942395955",2979888.1339357765
27,8674.542518012418,6076.59015975068,"258.4121291930366,55.34599540738313",2704783.590473728
28,8763.768979148794,5942.918504124578,"258.2519603313868,55.19875464912796",2674500.1803741045
29,8851.61577550479,5811.294965933177,"258.0954093952301,55.053575677628714",3489224.481342185
30,8937.712145515117,5678.048803955169,"257.94394062665276,54.90680726154686",3225611.1256656265
31,9025.548335953565,5546.41230400103,"257.7896313288781,54.76123725254357",3547086.8385998365
32,9113.38066064847,5414.770830571741,"257.6364284755276,54.61547265657007",2783084.099845718
