id,xcenter,ycenter,sky_center,aperture_sum
1,4283.833563148169,9780.420134376483,"268.34662587497536,58.06384013470691",2641491.994338552
2,4414.735740301787,9714.51518723986,"268.04843769774027,57.9997048389483",3717321.0137130395
3,4545.6118602468205,9648.568655139536,"267.7513220437944,57.93487475776594",3242881.2696732716
4,4677.34325462421,9584.97166853776,"267.45334938856473,57.871807837930895",2551387.8884862373
5,4808.169099447332,9518.943827224723,"267.1583758184626,57.80559655940084",3613162.329095344
6,4941.013702415579,9451.843413514609,"266.859905228577,57.737652532775925",5364289.52104721
7,5071.789981614194,9385.735606092103,"266.5671254165603,57.67007063506106",3138420.858773273
8,5202.541982166387,9319.589122244288,"266.2754406227492,57.60181531713381",2853877.8073979644
9,5370.916393704517,9237.175033532832,"265.901305163556,57.51581656677302",9236964.897543803
10,5501.615169900183,9170.942447121914,"265.61211573461327,57.4460363805921",6604292.575562547
11,5632.2909848293775,9104.673007305617,"265.32403279723565,57.375596757177526",2758335.480175572
12,5764.985474081266,9037.330990783143,"265.0325842954264,57.30338597683609",3220002.1255253167
13,5895.616102553455,8970.989050222468,"264.7467407642134,57.23163027391177",2929086.1735672103
14,6026.2248189660695,8904.612044307563,"264.46201245517744,57.15922815644205",2329683.8469878435
15,6158.852333037224,8837.162563063184,"264.1739790894521,57.085037499401245",2591121.927185114
16,6289.418086764481,8770.716609885174,"263.891505689753,57.01134550628661",2659371.4125461695
17,6456.675140528037,8685.534125703793,"263.53122654731095,56.9160025228387",2669119.2843978424
18,6587.194012805981,8619.013036389508,"263.2513153065034,56.840871827610066",2619417.169172042
19,6719.731843940317,8551.419820965812,"262.9681828696306,56.763928938679896",3208163.2205180335
20,6850.210837153765,8484.834906790962,"262.69054262502425,56.6875457362936",3882996.4509880138
21,6980.6706458806075,8418.219188920368,"262.4140309456874,56.61054759157054",3127584.679804127
22,7113.149584916308,8350.531698973307,"262.13435511632537,56.531721365498335",2917740.3098029406
23,7243.571755509389,8283.855722594244,"261.86012143545867,56.45349682244703",3746149.8436535853
24,7373.9758029048635,8217.150739680425,"261.58701909239943,56.37467029600568",4060270.9464917616
25,7540.142278761845,8129.2519037383745,"261.2410081484166,56.27044981876529",3207914.303982178
26,7670.506101081053,8062.483197361158,"260.970500270912,56.190271169640845",2925618.8857698864
27,7800.853164887261,7995.687364877519,"260.7011243542649,56.10950447648138",5184452.383738252
28,7933.219851206256,7927.8208305762255,"260.4286986371962,56.02687844567548",10400851.288832935
29,8063.533792014452,7860.972352474555,"260.1616051204152,55.9449396599575",2868431.2780699674
30,8192.943534061149,7791.708116287609,"259.897946413503,55.860100436448114",5765644.725419068
31,8323.22612653954,7724.810004134186,"259.63312662060065,55.777020782597944",3172558.441473141
32,8453.493813848792,7657.887752637895,"259.3694370284454,55.69337430862133",9498719.038873896
33,4225.524829216134,9628.490177922537,"268.47121629729423,57.90694265410718",2922103.7683004723
34,4358.4401708433115,9561.53450305984,"268.1694883271224,57.84207472130479",3863233.5808401387
35,4489.285223424724,9495.568382274258,"267.87346836604434,57.77750786259568",3232083.3886761996
36,4620.986248473172,9431.953665023033,"267.5765928311746,57.71470915996006",3775105.4563874127
37,4751.782714341889,9365.9089419046,"267.2826854379891,57.648767576661115",3159573.159728823
38,4882.555183349691,9299.82564073665,"266.98984961397866,57.58214699294193",2811123.7202173686
39,5015.34696619535,9232.670807456507,"266.69353895949746,57.51379471230013",3123935.9045736575
40,5146.072155026918,9166.5115242707,"266.40287559747475,57.445818357647944",3405921.9882838507
41,5314.41324011311,9084.08352050451,"266.0300439756466,57.36018332544",10389493.455535721
42,5445.087135809247,9017.841223774592,"265.74184224754543,57.29068881761353",4060934.226671376
43,5575.73892269894,8951.563427863888,"265.4547322002659,57.22053770605906",4261032.986391645
44,5708.409881241739,8884.214310888594,"265.1642566495248,57.14862278897869",2371888.6252521733
45,5839.018200559647,8817.866744054396,"264.8793562164897,57.07716114156369",2560676.868087636
46,5969.605460890768,8751.485466277818,"264.59555626311754,57.00505574728258",3683978.6460404242
47,6102.212056957289,8684.033032781059,"264.30845070082097,56.93116912456053",2983182.5482505816
48,6232.758074553105,8617.585537826662,"264.0268760386502,56.85777906710381",3003792.181883196
49,6399.991088772571,8532.403057728392,"263.66772701532295,56.76282659217126",4305736.298884284
50,6530.492172184932,8465.883516563892,"263.3886811775471,56.68800346910986",2810144.6729517477
51,6663.012810380276,8398.293259865179,"263.10641278379325,56.61137539799076",4523240.162790486
52,6793.4757356856935,8331.71262392447,"262.82960868565266,56.535304519064276",2580941.940847436
53,6923.9203304105295,8265.102538699024,"262.55391871543054,56.458620976516634",2828369.4627964883
54,7056.384691802927,8197.42215567485,"262.2750627136126,56.38011654748236",3268674.5200560656
