id,xcenter,ycenter,sky_center,aperture_sum
1,8412.79671160977,7729.806776855296,"258.6444279349125,57.055089037035586",3401632.2539353566
2,8414.919583582534,7562.717041942698,"258.67314615539686,56.8854054708534",2927784.4200195963
3,8417.041910781365,7395.6047951660075,"258.70160466073645,56.71571554098184",3429020.121764252
4,8421.382422063256,7228.510089437141,"258.7250010988755,56.54577720181533",3200242.8644141466
5,8423.503771217634,7061.356869469617,"258.75297284798756,56.376075500926326",3677729.929943778
6,8425.657827933323,6891.573140538824,"258.7811277030754,56.20371574246617",2795174.323532169
7,8427.778353003694,6724.384410558046,"258.8086031837382,56.034001293228506",2948561.746622313
8,8429.898522259344,6557.180584129817,"258.83583799566617,55.86428095582023",3603857.930137097
9,8434.833185567259,6342.969544730059,"258.8656881087701,55.64658142285976",3401485.05067679
10,8436.952683945849,6175.736276790491,"258.89240718019346,55.47684844650235",3510146.380083137
11,8439.071952217684,6008.4925707424345,"258.9188970327081,55.30710966799492",2990350.041867828
12,8441.224137074263,5838.626524395352,"258.94556965447333,55.134712874814184",3059691.1270233807
13,8443.343055552032,5671.366275078535,"258.97160771631513,54.964962659481756",3131347.1583066173
14,8445.4618564109,5504.100097674997,"258.9974265714842,54.795206944256876",4003044.2275167294
15,8447.613683218404,5334.215721732602,"259.0234277817792,54.62279312866728",3080041.101600962
16,8449.732362621962,5166.941957517968,"259.0488144707977,54.45302643461519",2832435.386356514
17,8452.446920005943,4952.620429410674,"259.08103505810277,54.23550510056458",3233025.010784825
18,8454.565645091732,4785.34537161037,"259.10594767382105,54.06572640254874",5853204.354821001
19,8456.717559290328,4615.458521064018,"259.1310418481414,53.89328961999381",7855309.582172366
20,8458.836486562566,4448.1887642104375,"259.15554836690916,53.723500675242036",3854726.4960004454
21,8460.955571510924,4280.923801426076,"259.17985772657903,53.55370668764702",3132284.296389089
22,8463.107966444813,4111.051807286701,"259.2043479735454,53.38125463483971",3298975.413353756
23,8465.227481942586,3943.801102199431,"259.2282683328167,53.21145079456841",3113917.3637896706
24,8467.347267621277,3776.5597014098626,"259.2519997719139,53.04164216885988",3753397.8538908837
25,8467.845159176428,3562.258611116209,"259.28652344253805,52.824288753729554",4536693.692461632
26,8469.965707344732,3395.044072235579,"259.30981636439844,52.65446867938912",3729885.3752242606
27,8472.086651449266,3227.843497028519,"259.332928996017,52.48464384230844",4526842.218118727
28,8474.241174824314,3058.0465784947787,"259.3562207293207,52.3121610383507",3098034.1152422493
29,8476.36302391726,2890.8792305286397,"259.3789773794607,52.14232738648197",2711540.584204645
30,8476.266877842048,2723.691330033032,"259.40586523188364,51.97270545015346",6825254.000414948
31,8478.389785560757,2556.5627008077913,"259.42826162690176,51.802862253951375",4883078.429351725
32,8480.513278260669,2389.4554521806544,"259.45048986733735,51.63301460398656",3822465.5590737523
33,8270.769131094066,7729.924597739452,"258.95578187078786,57.07303788191939",3085369.0192479244
34,8272.925598040641,7560.223844188402,"258.9835658230789,56.9006344538203",4055406.0456460873
35,8275.048339276178,7393.11123854815,"259.01067274169293,56.730877624850145",3105895.2377939806
36,8279.389261563372,7226.016203752919,"259.03272570754496,56.56088455596931",3160770.9577550953
37,8281.511025952625,7058.862669009549,"259.05936955560946,56.39111709253276",3585123.9323146613
38,8283.632361617681,6891.690884619713,"259.08577682078186,56.22134393415364",3257734.859115515
39,8285.786446111153,6721.889642643091,"259.11235826968357,56.04891208561075",3100369.0432340573
40,8287.907032019088,6554.685567942227,"259.1382994982513,55.87912770811474",6130128.144495372
41,8292.842227943009,6340.474250446499,"259.16650480569064,55.661358247520006",3086633.7330548805
42,8294.96214438232,6173.240784562589,"259.19195530183447,55.49156243590413",4545149.469104774
43,8297.081831215459,6005.996902636459,"259.21718725889764,55.32176135808512",2939048.973845621
44,8299.234441693188,5836.130700252056,"259.24259310290427,55.14930183263499",2974313.947252106
45,8301.353779763396,5668.870319542209,"259.2673943286175,54.979490374466884",3195093.6091667865
46,8303.473000737169,5501.604032819241,"259.29198657003064,54.80967392906291",2941195.1057329625
47,8305.625254766506,5331.71956844494,"259.31675231267224,54.63719895142552",3262036.737294271
48,8307.744355360774,5164.445739408778,"259.34093254992064,54.467372538010935",2850557.957434127
49,8310.459453192692,4950.124160515963,"259.3716216582126,54.24977540458411",3721541.386824298
50,8312.578600723125,4782.849088264042,"259.39534995237443,54.0799380962157",2632112.2338516656
51,8314.73094454233,4612.962245642472,"259.41925100010945,53.907442273458166",3337707.678344
52,8316.850295399548,4445.69251884731,"259.44259216525603,53.73759566849065",3831734.6492895004
53,8318.96980451022,4278.427608205133,"259.4657453838205,53.56774448201742",3604677.7956813164
54,8321.122630832691,4108.555689627402,"259.48907072341007,53.39523480215136",4624981.401555075
55,8323.242571679526,3941.3050811966,"259.51185312511404,53.22537467332709",3140848.17333536
56,8325.362783307766,3774.0637991485073,"259.53445544092074,53.055510201214744",4418525.36503719
57,8325.861218561891,3559.7628855061944,"259.5675479569431,52.83807529093184",4279731.05183897
58,8327.98219378536,3392.54851574881,"259.58973142342614,52.668200397415205",3903489.2084701853
59,8330.136715873536,3222.735703572781,"259.6120856299282,52.49566672433283",3110121.388301848
60,8332.258523959326,3055.551430014889,"259.6339250904622,52.325783538295084",3693283.8093269356
61,8334.380802019316,2888.3843177678345,"259.6555974082287,52.155896322682445",3184939.286823353
62,8334.285081153072,2721.1966673216702,"259.68141167408356,51.98621085332229",6090728.809152215
63,8336.408418853629,2554.0683179789407,"259.7027398087113,51.81631493766888",2729803.1092918217
64,8338.565533873958,2384.3504619653436,"259.7242371729793,51.643760201249286",2991949.279770353
65,8128.774674016306,7727.4312961935175,"259.2678344251345,57.08758465048343",3284491.2499736845
66,8130.898363162143,7560.341165251881,"259.2938254670893,56.917769405068846",3958326.8392424295
67,8133.05467844741,7390.617190996003,"259.31998156819236,56.74529544729336",4327600.301369934
68,8137.395992980986,7223.521826739232,"259.3406878388656,56.575250856011785",2909140.469166937
69,8139.518153842606,7056.367977173937,"259.36600044323734,56.40542079405153",3650022.4532749224
70,8141.639886447132,6889.195900015745,"259.39108807847344,56.23558558998277",3149079.7187189553
71,8143.761230918808,6722.006879311623,"259.41595418679594,56.065745123790386",4805009.73433557
72,8145.915358376922,6552.190060266457,"259.4409854720978,55.89324594942555",3452331.038250754
73,8150.817931628029,6340.59134670143,"259.4671627262781,55.678064390578136",3104286.1416607015
74,8152.971378660302,6170.744800442673,"259.49172106904837,55.50555486654399",3796187.9012217456
75,8155.09146531272,6003.5007426197735,"259.51569215469874,55.335694489095374",3200174.885864722
76,8157.244482378846,5833.634384183515,"259.5398282535214,55.16317525262978",3243158.0356816854
77,8159.364221303196,5666.373872070794,"259.5633897742773,54.993305501845846",5150647.676790727
78,8161.483843654998,5499.107476022866,"259.58675258443907,54.82343125246484",2773055.7675496424
79,8163.636505877484,5329.222923215482,"259.61028004925424,54.65089806046996",3678360.3136748467
80,8165.7560089272465,5161.949029361069,"259.63325111720604,54.48101480650783",3003927.0845873323
81,8168.471623203058,4947.627399693298,"259.6624053345457,54.26334552859477",3050017.428138584
82,8170.591174443227,4780.352313002945,"259.68494669739556,54.09345243665105",3445702.300898158
83,8172.743928855118,4610.465478324054,"259.7076520146075,53.92090042181971",9661725.690706559
84,8174.863684561262,4443.195781609285,"259.7298253071187,53.75099893879151",6904654.168366406
85,8176.983599097213,4275.930923135709,"259.75181990909397,53.581093313915865",5243360.997179996
86,8179.1368377769895,4106.059080150832,"259.77397787072226,53.40852878871324",3192032.28213702
87,8181.257185232678,3938.8085684116595,"259.7956199242531,53.23861508900837",2791108.189951128
88,8183.41094041587,3768.954397266118,"259.81742489633734,53.0660425277866",3484189.8946897076
89,8183.876758995147,3557.266668555564,"259.8487490403354,52.851184475625566",6110331.604582826
90,8186.0312927559635,3387.4398093043374,"259.87014874249206,52.678602227010856",4190670.3068466997
91,8188.153079938491,3220.2398502200585,"259.89105459610374,52.508671168322735",2988163.682561214
92,8190.275297594377,3053.0557903566287,"259.9117993242666,52.338736618756116",4022605.5522403833
93,8192.397985862632,2885.8889138912064,"259.93238516309356,52.16879843079578",3874249.9760894873
94,8192.30267143283,2718.7015139061814,"259.9571236042622,51.999051989686166",5600006.533637627
95,8194.45960903823,2548.962190526391,"259.9776967231519,51.82645042645327",2984531.923123425
96,8196.58395368517,2381.855895435851,"259.99779982015076,51.65650060592079",20034347.02594439
97,7986.780495569222,7724.9375316856585,"259.5801219393869,57.10137959041264",3004373.189559145
98,7988.9045607452335,7557.847019384291,"259.604742213936,56.93150334042527",3837456.391976207
99,7991.028081897011,7390.734038249145,"259.62913918198666,56.76162246083348",3130495.526597296
100,7995.40294641521,7221.026986265631,"259.64887515801917,56.58887509426791",2656888.2628190173
101,7997.525484982545,7053.872821835776,"259.67285333941436,56.41898561116223",3715946.1480994252
102,7999.647595763832,6886.700451870834,"259.69661822482163,56.249091511455084",4040396.8001419203
103,8001.769318890234,6719.51116042094,"259.7201730808084,56.07919266712531",3112665.2158885184
104,8006.109341022369,6552.345721849983,"259.73878627462466,55.909085841033715",2937198.7788953264
105,8008.826883309602,6338.09509983384,"259.76842927506056,55.69139199882948",4988903.883478481
106,8010.980716851622,6168.248352318213,"259.79169312917134,55.51882481024398",3520472.2961920025
107,8013.101184576841,6001.004118581852,"259.8144005133901,55.34890814478953",3615680.4961732705
108,8015.2214612448215,5833.750992287619,"259.8369138004651,55.17898727251986",4224020.523023119
109,8017.37471022973,5663.876960556926,"259.85958313307077,55.00640714882628",6557892.881375734
110,8019.49471521806,5496.610455179727,"259.88171383293155,54.83647803299989",3840461.049293287
111,8021.647766600493,5326.725813939123,"259.90400034792316,54.66388958564584",2963892.345086864
112,8023.767653365989,5159.451855270412,"259.92575966275876,54.49395238089392",3110123.7466161908
113,8026.483760075844,4945.130174838839,"259.9533757452017,54.27621462713452",4407140.159950976
114,8028.603696286271,4777.855073723378,"259.97472769557373,54.10626858891827",3645364.2465580227
115,8030.756842258067,4607.968247004997,"259.9962348067089,53.93366324065128",5884747.9934245655
116,8032.876984072511,4440.698580392287,"260.0172378318447,53.76370967189119",3397367.9758860753
117,8035.030416400648,4270.820312917158,"260.03839565762286,53.591096772151744",3576818.314737624
118,8037.150917293074,4103.562006751487,"260.05905969906644,53.4211358002688",3237888.5044233706
119,8039.271652612698,3936.311591737992,"260.079559131975,53.25117125703093",17604249.466427617
120,8041.425802330403,3766.457541443411,"260.100212753507,53.078547467652236",2783560.398516733
121,8044.143807329368,3552.1962334345517,"260.12603297391803,52.86077073185238",2965516.6425299477
122,8044.0470398823145,3384.9433009426557,"260.1503858614865,52.69098301734707",3366113.505084824
123,8046.1692172485455,3217.7435335167847,"260.17018650507254,52.521002837879614",2730477.5645115925
124,8048.291825714777,3050.559687403619,"260.1898344263061,52.351019544416296",5540397.9501114255
125,8050.414905427642,2883.393046779731,"260.2093317462089,52.18103298422993",2685226.8025210197
126,8050.353164642625,2713.59432144107,"260.2332931280767,52.008571968378206",2847872.2590072476
127,8052.47731484177,2546.4668588575055,"260.2524763496915,51.83857823369502",2754511.2986667613
128,8054.602052597882,2379.360866221907,"260.2715152213147,51.668581171196536",53531864.83789763
129,7844.7869258595565,7722.443332081824,"259.89263149961846,57.11442171070475",3004342.811918255
130,7846.911348280693,7555.3524383700405,"259.9158778163155,56.94448773204483",3820459.453225531
131,7851.25357436482,7388.2780795137705,"259.9340719188559,56.77435342700576",3111460.184528369
132,7853.376946914576,7221.143386584194,"259.95692060230414,56.604411762862384",2604007.5097625623
133,7855.499851393497,7053.989203103915,"259.9795645172777,56.43446611340017",3907005.032139425
134,7857.655489054076,6884.204562258001,"260.00235590122304,56.26186080043944",3664601.8061647313
135,7859.777572073147,6717.015000030404,"260.024596598812,56.091906713206036",4385682.112766752
136,7864.117952300718,6549.849319479811,"260.0419039495831,55.92175654627667",3359872.432284033
137,7866.835957422006,6335.59841106304,"260.0698941878304,55.7039931756527",3333937.5448553995
138,7868.990158428673,6165.751462271104,"260.0918607744749,55.53137141867869",5715028.869512039
139,7871.110988476938,5998.507052606096,"260.11330177143304,55.36140148805934",3953593.803564728
140,7873.231627981817,5831.2537724645035,"260.13455935006044,55.19142780392788",3637770.135257558
141,7875.3852460054495,5661.379607086611,"260.1559641244029,55.01879450031658",4645828.987631963
142,7877.505614885495,5494.112992376807,"260.1768601715868,54.84881346621395",6807042.070612359
143,7879.65903639119,5324.228262703569,"260.19790320112867,54.67617273311474",3031504.7652703417
144,7881.77928812928,5156.954239225157,"260.2184483109535,54.50618447760224",2874619.220954309
145,7884.495863258966,4942.632508041301,"260.2445231802611,54.288381929540435",4069136.4790191734
146,7886.616165696738,4775.357392514289,"260.26468336378895,54.11838579223085",2859095.2118347874
147,7888.769684192212,4605.470573774099,"260.28498991985606,53.945729979026105",3031960.3564504017
148,7890.8901933708585,4438.200937284889,"260.30482040535486,53.775727126406444",3799972.4446116346
149,7893.0439993908585,4268.322723020674,"260.32479692676094,53.603064577845586",3746474.4573466657
150,7895.164868811342,4101.064491516749,"260.3443071149748,53.43305511418863",3073199.3877833877
151,7897.285973246457,3933.8141732621543,"260.36366177116724,53.26304246383733",18745188.32502891
152,7899.440498455154,3763.960243856285,"260.38316189007895,53.09037020387129",3067338.775897721
153,7902.15897803591,3549.6991208681156,"260.4075398917799,52.872532870043585",3031115.000086563
154,7902.0625784252225,3382.446351261175,"260.4307794255466,52.70268770971743",2937536.0478395084
155,7904.185127215253,3215.2467755436965,"260.44947285752136,52.53266105732396",3073829.907251819
156,7906.341283524149,3045.4509862098994,"260.46831070518664,52.359974868757504",4360888.237789012
157,7908.464743586758,2878.2848624044054,"260.4867153633376,52.18994249941289",3202958.659996607
158,7910.588716305144,2711.1372733925605,"260.5049797405389,52.01990705758642",2762743.5470272405
159,7910.495048500032,2543.9710923153298,"260.5274019459976,51.850042990068694",2922905.998919262
160,7912.620160583398,2376.865402203522,"260.5453747559796,51.68000123645184",5425359.543648908
161,7702.7933031764815,7719.948707829499,"260.2053523134664,57.126710161544544",3042468.516848874
162,7704.9180640563145,7552.857432658222,"260.22722164791236,56.95672174242108",3174167.4496132047
163,7709.260790615769,7385.782723676704,"260.2440476437592,56.786545154589106",3515924.1166346692
164,7711.384502847479,7218.647693399487,"260.2655438802897,56.61654997610325",3307517.8185894205
165,7713.507747481379,7051.493194633458,"260.28684731607973,56.44655128992362",3289355.703976027
166,7715.630567165896,6884.320316730749,"260.3079609474168,56.2765487564958",3324669.1640328118
167,7717.786155248552,6714.518423125979,"260.3292131298146,56.103886409502536",3900957.4867289877
168,7722.126874817529,6547.352500225143,"260.34521211493325,55.93369603410938",3080440.0956036737
