id,xcenter,ycenter,sky_center,aperture_sum
1,4507.89789199243,9819.197048836995,"266.5248327860933,58.85104891005393",3184164.9015748254
2,4635.513254547109,9744.983397186195,"266.22814557894066,58.777320057471066",2683934.654453025
3,4763.09984931971,9670.727901087877,"265.93272147150975,58.70291321848009",3750901.009750156
4,4891.649989748792,9598.761472459682,"265.6363001518407,58.630218960740486",5295573.066840323
5,5019.181113253915,9524.424342730876,"265.3433931286678,58.554465684168896",3167475.757362087
6,5148.677006025051,9448.884756820695,"265.04720867290973,58.47684962150205",5139356.737882979
7,5276.153710529065,9374.467629497063,"264.75686164395955,58.39976383305715",8695453.12555258
8,5403.603866966391,9300.01193541641,"264.4677874514679,58.32202440908856",8311586.962084326
9,5567.855327106124,9206.891626468929,"264.0969321790437,58.22383252179221",3717417.723160966
10,5695.2473631915245,9132.350324406729,"263.8107509195597,58.14461476911756",2933999.533396011
11,5822.614452011494,9057.77251061277,"263.5258455019365,58.06475913194217",2745333.8817278612
12,5951.946573813671,8981.992727328603,"263.23779483235245,57.98300780007573",2984600.5183377494
13,6079.264739517217,8907.343324810976,"262.95546225990057,57.90188106834401",2941415.8355910997
14,6206.559272281698,8832.659422625795,"262.6744064092521,57.82013098249602",3061742.466051065
15,6335.81914477577,8756.773898554773,"262.3902655120843,57.73647037930427",3714890.43058309
16,6463.067509229206,8682.022405925389,"262.11178218446537,57.65347831766284",4303733.952075064
17,6626.072038521924,8586.199606019656,"261.75683952149865,57.54625540934475",3560618.085765539
18,6753.270322100968,8511.374874969053,"261.481265086201,57.46188105182487",2644446.4121361426
19,6882.434391005578,8435.349247016007,"261.20268842837584,57.37557609164342",2780186.6348396493
20,7009.590346706177,8360.462687714135,"260.92968014111716,57.29000089143634",9012524.128785415
21,7136.726032874969,8285.546422685413,"260.6579429692422,57.20383697998194",19318418.572291106
22,7265.827889836306,8209.429891604961,"260.3832595179977,57.11572901892161",2776643.9781940524
23,7392.9240168564065,8134.455809148405,"260.11407988722266,57.02839274064817",3441508.6353723872
24,7520.00119849099,8059.4540419077875,"259.8461664422661,56.94048183411925",3514355.321563238
25,7681.794078078588,7960.9872936770835,"259.50728784536227,56.824743043027645",4393739.354145798
26,7808.82953738643,7885.925092562398,"259.2422651133785,56.735544178059314",2704308.6955577433
27,7935.847697226724,7810.837317647063,"258.9785009291888,56.64578570532506",2679031.9726159577
28,8064.833007721429,7734.55096107295,"258.7119016287829,56.55405684378762",2896992.7830311772
29,8191.817228626383,7659.413921395981,"258.4506674403683,56.46318456175955",3341997.9747786266
30,8317.787253896702,7581.923160705146,"258.1932684787044,56.36952395269026",2580317.3277507722
31,8444.739716085542,7506.740118647827,"257.9345418759867,56.27757021014138",2951743.1931618094
32,8571.67716604588,7431.534856726973,"257.67705975365516,56.18507952702563",3562217.303831068
33,4442.538759217139,9671.253234508906,"266.67057469385884,58.69850053773075",3246398.3792998684
34,4572.117795697231,9595.859564147997,"266.3702848675354,58.62393352168951",2950336.622124047
35,4699.675200625557,9521.584968903695,"266.0758707125293,58.549833207035384",3769585.525716863
36,4828.196864666172,9449.601252337226,"265.7804614471913,58.47745058569822",6742983.554713295
37,4955.700609228574,9375.24766208973,"265.4885304735,58.402009265315456",2438532.244035068
38,5083.177966253974,9300.855411518378,"265.19785199153847,58.3259070307426",3717047.2748350576
39,5212.620789644372,9225.261780962785,"264.9039150049767,58.24794403986564",3549969.101863202
40,5340.046314711876,9150.793605894538,"264.6157660520162,58.1705242270944",4932117.619571474
41,5504.26729331199,9057.65972716595,"264.2460913034353,58.0727480030912",3514311.961427177
42,5631.63676623907,8983.108955248814,"263.96079731306247,57.993855335572825",2859642.7790361056
43,5758.982203284174,8908.522991679394,"263.6767626167669,57.914327065599345",2834527.618387297
44,5888.293267880285,8832.736282533846,"263.38957941962536,57.83291049187288",3427623.719986076
45,6015.591618867136,8758.081391233114,"263.1080844653027,57.752115550509295",3698885.477971086
46,6142.867248326741,8683.393320527346,"262.82784994058875,57.67069936291698",3667234.794521331
47,6272.108855002466,8607.504914205105,"262.5445266212023,57.5873799747403",7096793.487609565
48,6399.340153126465,8532.751914306129,"262.26683206223964,57.50472588906399",7984117.982274097
49,6562.324147981979,8436.929112786433,"261.9128766297024,57.397938839025926",3344442.874294918
50,6689.507444058189,8362.105886486152,"261.63805459393564,57.31390680149128",3197986.717730538
