id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,4923.793627371648,9961.901007038185,"161.1350220856859,-54.73381665160295",4830213.607866045,10.6559734716264,52896252.313153446
2,4782.253507420656,9865.557596838265,"160.88985835079018,-54.82894798335429",6717599.896740287,14.819751692987637,73565247.40399063
3,4640.751071912033,9769.239870820305,"160.64353990902552,-54.923582884917714",8393107.773873368,18.516103229316283,91913936.43032603
4,4497.7835031058885,9675.162781702558,"160.39350616234194,-55.015496934522865",8284134.201375045,18.2756957459372,90720553.68283226
5,4356.348082289718,9578.890736740332,"160.1448751952224,-55.10912146211593",5182761.568113647,11.433732390146394,56757047.5846867
6,4212.733362113226,9481.135323576122,"159.89116715583123,-55.203688257224705",5441382.741741602,12.004278661825234,59589239.27730046
7,4071.3556251972122,9384.902609625919,"159.64018515730018,-55.29628342135985",6980515.460369841,15.399771853328325,76444467.47992182
8,3930.0029695490966,9288.68700109436,"159.38803264456894,-55.38836144707903",4618351.161355738,10.188582007619264,50576121.085822016
9,3747.4246750150464,9167.64797078471,"159.06073241360264,-55.50332492824388",5333156.311042853,11.765519454038524,58404038.569847226
10,3606.118924076739,9071.464364115613,"158.80590694223324,-55.59420244266856",4868053.15042839,10.739451593808447,53310637.71166513
11,3464.829870319086,8975.29215598286,"158.5499019000712,-55.68454910045087",5128773.736596761,11.314629396544268,56165820.32444574
12,3321.3476950257514,8877.627174404894,"158.28868687792306,-55.77575967395882",8929789.546054266,19.70008124588927,97791203.30459432
13,3180.084692914564,8781.472765830638,"158.03029686695865,-55.86502335174165",10705787.33657277,23.61812439632319,117240369.50334832
14,3038.830886277203,8685.324649541453,"157.77072027867146,-55.953743237154754",5879290.790231859,12.97035116431761,64384823.17967261
15,2895.3767285773843,8587.678840388373,"157.50587094144385,-56.04328838653911",5876234.980741627,12.96360971818172,64351358.64105406
16,2754.1337463018167,8491.538158784606,"157.24389624456975,-56.13089911845685",7012597.678082876,15.470548694398937,76795803.71899633
17,2573.168191230562,8368.359331134267,"156.90649812434205,-56.24233598774968",5150022.073255704,11.361505524627951,56398513.42425315
18,2431.9252469335065,8272.218750984903,"156.64180054469907,-56.32867002929751",5602302.360537422,12.359284739850438,61351489.44861758
19,2288.4711618923006,8174.573135920973,"156.3717427018642,-56.41577283903865",5764749.885762116,12.717661544658135,63130471.90768299
20,2147.217460368414,8078.425300397143,"156.10463287995543,-56.50095981379125",8550666.920876743,18.8636957432262,93639385.66937485
21,2005.9545966986425,7982.271261575315,"155.8363243302649,-56.58557107310045",5349311.8153057005,11.801160243208862,58580959.44728879
22,1862.4725961439608,7884.606746637388,"155.56259553051638,-56.670910510038496",4776011.87672583,10.536398592327942,52302682.6123159
23,1721.183748070916,7788.4350877068355,"155.29186802384882,-56.754347789712575",5521194.792931574,12.18035267619417,60463270.68462785
24,1579.8782362211255,7692.2521193243265,"155.0199392896952,-56.83719590283763",7776198.378571135,17.155134401761277,85158087.17034298
25,1400.3125674767894,7566.788623536371,"154.67211637144746,-56.94481199440971",5340364.67791223,11.781421890735887,58482978.26561294
26,1258.9602272633306,7470.573856671534,"154.39743348480485,-57.02630416219742",4559100.849288824,10.057869412933508,49927263.76580194
27,1117.5828393198085,7374.34207364189,"154.12154774642266,-57.10719248432794",4628275.822471538,10.21047688311558,50684807.24778573
28,973.9685079482492,7276.587697365861,"153.84012073505383,-57.18872179642194",6976793.297080621,15.39156035866432,76403705.62040967
29,832.5335038632174,7180.316763428489,"153.56181180970873,-57.26837896912651",9331575.180827903,20.586463798092783,102191206.29373258
30,692.5786358351288,7081.81549088817,"153.28457892752994,-57.349778069460584",5010333.419070684,11.053337250069927,54868766.109347105
31,551.0766845442149,6985.499054886195,"153.00385345837282,-57.42820026235238",4554041.524862235,10.046707996223844,49871858.49325515
32,409.53708265529895,6889.157024346151,"152.72192702011915,-57.505995818732295",4725289.154254908,10.424498782311547,51747211.95539451
33,5021.8996448794305,9821.503165403547,"161.30445012002946,-54.87326086241353",7549847.545022216,16.655779989432627,82679291.86754356
34,4878.177855998338,9723.67478727821,"161.05501281258685,-54.970240789867894",5484767.214852021,12.099989500325679,60064347.87961667
35,4736.705189867232,9627.37737272311,"160.80823673346913,-55.065227459430666",6794832.099903293,14.990134283670587,74411026.58414078
36,4593.767762395054,9533.319483937496,"160.55771404015354,-55.15749591695398",8623559.937105965,19.024505618371364,94437645.88959543
37,4452.362116542316,9437.06775405366,"160.3086000108774,-55.251470175531665",7417078.439850664,16.362876988154245,81225321.36919768
38,4310.986439259902,9340.836456195299,"160.0583084155806,-55.34493473922319",6556678.979829781,14.464742751181081,71802983.01686288
39,4167.429656083066,9243.12056162801,"159.8028970429872,-55.43933380113454",6333544.613655037,13.97248421365096,69359411.63656336
40,4026.1067580383865,9146.925256082231,"159.55022227860803,-55.531758240216334",6831965.852638312,15.072055357182096,74817682.79305193
41,3843.567067881362,9025.91119870605,"159.22221480603713,-55.6471672418258",5616471.121581936,12.390542558670349,61506653.26123961
42,3702.2910843450445,8929.747901489576,"158.9668367256759,-55.73838836950503",5526165.160217309,12.19131784383288,60517701.77678642
43,3561.0317944931858,8833.596000341893,"158.71026558738674,-55.82907736001068",7538063.843972253,16.629783870838306,82550247.13484135
44,3417.5798451297856,8735.951640889401,"158.44846170367245,-55.920634259598145",5430817.199439348,11.980969933138201,59473534.74809803
45,3276.3466014793116,8639.817535419525,"158.1894780722859,-56.01023755584618",5950076.243093995,13.12651152680088,65160003.21903956
46,3135.122551386967,8543.689720845387,"157.92929404270825,-56.099295645733676",6536976.505895542,14.421276963409968,71587218.84636708
47,2991.6986137803333,8446.064529583808,"157.66381351504546,-56.18918279023871",5682224.645645127,12.535601942160609,62226728.04088526
48,2850.485385812684,8349.944148003056,"157.401203192562,-56.27712873817657",5700597.396932407,12.576134218000174,62427930.25815285
49,2669.557953055153,8226.79132936875,"157.0629699963082,-56.388992827456086",5476097.090160708,12.080862267824848,59969400.29748253
50,2528.3447631070408,8130.671049082932,"156.79760438108917,-56.475658473957886",5436626.781763713,11.993786499889792,59537156.18545291
51,2384.920898237471,8033.046051605137,"156.52685335221474,-56.56309636946528",5668949.058674742,12.50631456192005,62081345.48537112
52,2243.6969533720835,7936.918517354794,"156.25904642335334,-56.648611551109106",6881013.957973596,15.18026078073421,75354814.5155646
53,2102.4638483125927,7840.784781055698,"155.99002619719838,-56.73354925783462",5068943.058543119,11.182636451741418,55510607.3464444
54,1959.0120738763671,7743.140887509355,"155.71555959171496,-56.81921839078824",7815161.843668892,17.24109201857727,85584780.78021757
55,1817.7529899311576,7646.989534700125,"155.4440907587536,-56.902978419709946",4935451.482016252,10.88813960053812,54048724.977071226
56,1676.4772457412782,7550.8268747663915,"155.17140585236797,-56.986147371025915",6961425.895053739,15.357658208237764,76235415.34569226
57,1496.9489107684153,7425.390215526806,"154.82261080421924,-57.0941689434499",5098491.809332959,11.247824190855786,55834199.28340813
58,1355.6263284986098,7329.195750324493,"154.547137517602,-57.175977440203",5734479.376157116,12.650881527559473,62798975.902805224
59,1212.0699003957761,7231.4808004445995,"154.26611322030772,-57.25844398815183",4883425.592494952,10.773364863107476,53478983.18046552
60,1070.6946066119062,7135.250522614033,"153.98818557070553,-57.33902629507928",5230148.552739858,11.538273201810487,57275988.17378726
61,929.2893779390747,7038.999902008571,"153.70904040208646,-57.41899335814466",7464946.515607068,16.468479138868116,81749530.4453413
62,789.3633815873782,6940.519691779411,"153.4309742432428,-57.50069760743819",6850534.564786426,15.113019943868357,75021031.00136252
63,647.8912001950757,6844.223565213182,"153.14938170370644,-57.57942519415114",9162763.80094775,20.21404764184203,100342532.49410383
64,504.16993830591946,6746.396586814314,"152.8621440986473,-57.658739086314405",7944807.441665066,17.527104225306715,87004545.3744225
65,5117.774381368102,9679.671475221421,"161.47125275948295,-55.01395540975945",7075431.32651728,15.609166516549108,77483902.58814976
66,4976.291946290902,9583.367425684519,"161.22521912630492,-55.109802303595856",5770766.14275811,12.730934058081433,63196356.66431622
67,4832.63739154908,9485.584894806176,"160.9741335038248,-55.206636844682656",8639673.464241818,19.0600538014609,94614107.0704519
68,4689.728815603236,9391.545386451999,"160.72312330879097,-55.299262188980855",6800981.762539281,15.003701104359804,74478372.28204207
69,4548.351681934232,9295.313112060485,"160.47352771769923,-55.3935886329443",9224398.805437664,20.350021125850795,101017504.86872333
70,4407.004510814524,9199.101265504169,"160.2227415363032,-55.48740434320134",22811365.507280726,50.32433872102538,249810017.41116995
71,4265.684628298146,9102.908026677942,"159.97076114172592,-55.580705192873275",16466074.608616704,36.325940932612,180321970.78948596
72,4122.182271127732,9005.229260618948,"159.71361842325686,-55.674932300854536",6608349.858308571,14.57873429586742,72368837.04468587
73,3941.886634429651,8885.741431954119,"159.38889387323175,-55.789355197784666",8662453.752842708,19.110309581166327,94863576.76090963
74,3798.4320640164306,8788.095268906272,"159.12897459839752,-55.882357415843074",6370980.13932268,14.055071030880152,69769372.59728907
75,3657.201276585074,8691.962816040967,"158.8718378783177,-55.97339131567223",9558237.719763482,21.086505866206636,104673415.11984976
76,3513.7782720857176,8594.338206683135,"158.60944548239183,-56.065297176700085",6815222.402702994,15.03511749628839,74634323.25157557
77,3372.573525644386,8498.223545774723,"158.34986840063033,-56.15524270402523",4593852.195837873,10.134534640808091,50307829.95697137
78,3231.3779709280634,8402.115174429468,"158.08907692366566,-56.24464162822044",6878569.061610586,15.174867075010164,75328040.16035046
79,3087.982972600603,8304.509729200981,"157.82296501543112,-56.33487345593856",9385318.865174113,20.705028176638702,102779759.86883451
80,2946.7982378696706,8208.408789224337,"157.55971869541114,-56.423157283065166",6002713.575790208,13.242635173985876,65736441.003665894
81,2765.9073116971617,8085.280879770132,"157.2206496730291,-56.535452027570216",5127144.510745914,11.311035148162032,56147978.47547633
82,2624.7226150283614,7989.180040930671,"156.95461521883013,-56.622451977558",5659222.372944265,12.484856441529264,61974827.375751264
83,2481.327689519481,7891.574789184387,"156.68316998836966,-56.71022771453389",5354013.3400807455,11.811532315201182,58632446.412658654
84,2340.132240148064,7795.466697726506,"156.41466475251687,-56.79607383060677",4474665.328788624,9.871595525367157,49002600.18792256
85,2198.927632452966,7699.352405414256,"156.1449314477308,-56.881340725853626",4205247.284833359,9.277230190366346,46052170.66497854
86,2055.5048030767452,7601.7282612372965,"155.86972540191275,-56.96734235205795",5757108.3488665335,12.700803488047724,63046788.5146689
87,1914.274221782618,7505.596355856974,"155.59751342235427,-57.05142789692957",5044150.747284538,11.127941932509078,55239103.75297507
88,1770.819894993475,7407.950839746677,"155.3197880768567,-57.13622028040519",5684078.895180205,12.53969261712028,62247034.15138507
89,1593.5343929159849,7284.042182818572,"154.97430044701144,-57.24335105654025",6654478.3032364305,14.68049863288104,72873995.2136215
90,1450.0323570799592,7186.36426961147,"154.6937077121799,-57.32675713933438",5923609.285562735,13.068122556824791,64870160.37207827
91,1308.7128248286276,7090.171960186828,"154.416188901421,-57.40826723224027",6523232.193652661,14.390955524538736,71436703.22381029
92,1167.3660376362527,6993.96113207131,"154.13743730150128,-57.48916444081306",6925824.508368159,15.279117699913899,75845540.26237258
93,1025.9893216133396,6897.729965232542,"153.8574526732089,-57.569444224897715",6891882.2495054,15.204237406955505,75473834.48812713
94,886.0909611847937,6799.269918052209,"153.57855002780454,-57.65145642569495",4602946.869630462,10.154598474529461,50407426.82756425
