id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,3127.159864257523,402.367030015831,"156.97474688349627,-64.20831595240877",89592912.85132611,197.65165272085073,981142804.1063031
2,3295.097114866223,435.6701488654089,"157.36287158467223,-64.18606327731291",91261461.07193537,201.3326505023954,999415277.0938908
3,3462.989671123217,468.96445504572694,"157.75035868659074,-64.16278162565473",89390031.68562472,197.2040749333827,978921027.9693117
4,3631.354227979774,499.6238068665107,"158.13807064757088,-64.14110592042476",90466698.32525365,199.5793179518255,990711734.3128617
5,3799.167308273916,532.9024533592919,"158.52423874688847,-64.11577263850674",90678916.01312792,200.04749311669096,993035755.8312538
6,3969.5661441421976,566.6939271129131,"158.9157065188835,-64.0889990816421",90631923.10584325,199.94382168225073,992521130.8306926
7,4137.310816824643,599.9591096439926,"159.30040270876245,-64.06161219789283",90808361.08093508,200.33306293214167,994453324.3951513
8,4305.02574711238,633.2184445126322,"159.68432913087318,-64.03321133871165",90816489.07395697,200.35099416356337,994542335.0279285
9,4520.388524417535,673.1982117519719,"160.17614652574397,-63.99796587507907",91423148.83245693,201.68935118412065,1001185939.277975
10,4688.047840268648,706.4466329262777,"160.55825870084428,-63.967261740422046",91909191.73080926,202.76161436984816,1006508653.7319261
11,4855.687360370086,739.6911789123224,"160.9395196629556,-63.93555482169874",91913782.81766942,202.77174280385947,1006558931.2783585
12,5025.929035566342,773.4518092243625,"161.32584176746482,-63.902329850767785",91427766.51180682,201.69953828403953,1001236508.0419723
13,5193.537675569763,806.690333155615,"161.70531419437356,-63.86861294993761",92480263.06020743,204.02145946791242,1012762524.7987173
14,5361.135419640816,839.9267468006383,"162.08386384472155,-63.833904636250615",94122616.44202727,207.64466860284753,1030748134.9445351
15,5531.343896367293,873.6809481526889,"162.46736053064623,-63.797643281449645",93886835.60343027,207.12451057979118,1028166070.5180833
16,5698.928825610315,906.9149222454116,"162.84398135212984,-63.76094874144673",92423928.47245002,203.89717927630755,1012145597.9275906
17,5913.644644039879,949.4955549098913,"163.3250763353,-63.71250338324426",92078689.94626252,203.13554575963528,1008364849.1508294
18,6081.229558727044,982.7296412934375,"163.69940610047587,-63.67358118726487",93955055.7590202,207.2750116191267,1028913157.6773452
19,6251.438007608012,1016.4840574623186,"164.07852103921394,-63.63305854827842",92920639.02128716,204.99297645241296,1017585135.109778
20,6419.035711400162,1049.720781850002,"164.45073492635746,-63.592186811872786",92980805.33836922,205.12570985320252,1018244023.7112973
21,6586.644298361969,1082.9597149994893,"164.8218685176,-63.55035457979056",93733372.51191506,206.78595440716214,1026485477.6771529
22,6756.885906623474,1116.7208617383426,"165.1976748581892,-63.50689031018425",93933322.75061676,207.22706625277098,1028675156.8787551
23,6924.525347955361,1149.9660154928065,"165.56657111723484,-63.46313606889923",94008849.99423556,207.39368751835565,1029502264.8411174
24,7092.184572270809,1183.2151429800256,"165.9343286942213,-63.41843534996545",98749562.29756929,217.85221143511782,1081418377.5639248
