id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,4923.793627371648,9961.901007038185,"161.1350220856859,-54.73381665160295",63753591.21476465,140.64731538975997,698173273.5947684
2,4782.253507420656,9865.557596838265,"160.88985835079018,-54.82894798335429",94170826.8020811,207.75102586973,1031276092.4173397
3,4640.751071912033,9769.239870820305,"160.64353990902552,-54.923582884917714",91320055.6317719,201.46191643675965,1000056953.1920747
4,4497.7835031058885,9675.162781702558,"160.39350616234194,-55.015496934522865",93327438.16810499,205.89041935425726,1022040041.674533
5,4356.348082289718,9578.890736740332,"160.1448751952224,-55.10912146211593",91454006.97117132,201.7574275745703,1001523870.480167
6,4212.733362113226,9481.135323576122,"159.89116715583123,-55.203688257224705",91957422.28238651,202.86801618141448,1007036832.3245413
7,4071.3556251972122,9384.902609625919,"159.64018515730018,-55.29628342135985",90544115.84178664,199.75010936383904,991559542.8820968
8,3930.0029695490966,9288.68700109436,"159.38803264456894,-55.38836144707903",91358214.17210001,201.54609830250365,1000474831.973628
9,3747.4246750150464,9167.64797078471,"159.06073241360264,-55.50332492824388",92134749.66615066,203.25921956300124,1008978765.9107381
10,3606.118924076739,9071.464364115613,"158.80590694223324,-55.59420244266856",92311211.00005619,203.6485123449608,1010911215.2803851
11,3464.829870319086,8975.29215598286,"158.5499019000712,-55.68454910045087",90895894.53347975,200.52617119275294,995411913.8008255
12,3321.3476950257514,8877.627174404894,"158.28868687792306,-55.77575967395882",92041316.76989266,203.05309649169834,1007955570.9847907
13,3180.084692914564,8781.472765830638,"158.03029686695865,-55.86502335174165",93872128.51115316,207.09206514406668,1028005011.3751469
14,3038.830886277203,8685.324649541453,"157.77072027867146,-55.953743237154754",90804589.18953821,200.3247417318955,994412017.9571294
15,2895.3767285773843,8587.678840388373,"157.50587094144385,-56.04328838653911",90921518.41848734,200.58270025358706,995692524.0588062
16,2754.1337463018167,8491.538158784606,"157.24389624456975,-56.13089911845685",93260702.21765861,205.74319263194374,1021309208.2249687
17,2573.168191230562,8368.359331134267,"156.90649812434205,-56.24233598774968",90851573.37291014,200.42839392044095,994926547.4210689
18,2431.9252469335065,8272.218750984903,"156.64180054469907,-56.32867002929751",91695699.48618726,202.2906273949895,1004170674.3887278
19,2288.4711618923006,8174.573135920973,"156.3717427018642,-56.41577283903865",91596824.723311,202.07249897754085,1003087884.9245126
20,2147.217460368414,8078.425300397143,"156.10463287995543,-56.50095981379125",92747261.19126722,204.61048621341985,1015686453.563416
21,2005.9545966986425,7982.271261575315,"155.8363243302649,-56.58557107310045",91637345.43715793,202.16189205347047,1003531632.1534276
22,1862.4725961439608,7884.606746637388,"155.56259553051638,-56.670910510038496",90525963.56825069,199.71006348575744,991360755.1432998
23,1721.183748070916,7788.4350877068355,"155.29186802384882,-56.754347789712575",92993282.95972796,205.1532368350261,1018380667.6490694
24,1579.8782362211255,7692.2521193243265,"155.0199392896952,-56.83719590283763",90626967.1497349,199.9328883072275,992466857.5570772
25,1400.3125674767894,7566.788623536371,"154.67211637144746,-56.94481199440971",91185688.75754732,201.1654885841962,998585485.3319501
26,1258.9602272633306,7470.573856671534,"154.39743348480485,-57.02630416219742",89560057.58995149,197.57917046187958,980783002.17277
27,1117.5828393198085,7374.34207364189,"154.12154774642266,-57.10719248432794",193430028.82749054,426.7275576477635,2118275596.1634982
28,973.9685079482492,7276.587697365861,"153.84012073505383,-57.18872179642194",90207285.4962145,199.00702520271412,987870873.1062729
29,832.5335038632174,7180.316763428489,"153.56181180970873,-57.26837896912651",89934510.69876835,198.40525450657327,984883683.3706298
30,692.5786358351288,7081.81549088817,"153.28457892752994,-57.349778069460584",91031933.03893736,200.82628684455668,996901687.8963795
31,551.0766845442149,6985.499054886195,"153.00385345837282,-57.42820026235238",90576537.74811532,199.82163559472363,991914599.0922079
32,409.53708265529895,6889.157024346151,"152.72192702011915,-57.505995818732295",90503182.51356523,199.65980601598665,991111277.0633578
33,5021.8996448794305,9821.503165403547,"161.30445012002946,-54.87326086241353",91424873.1779679,201.69315527675766,1001204822.793825
34,4878.177855998338,9723.67478727821,"161.05501281258685,-54.970240789867894",94222731.97619307,207.8655342959157,1031844512.2449256
35,4736.705189867232,9627.37737272311,"160.80823673346913,-55.065227459430666",91783787.72969255,202.48495958444502,1005135339.3771849
36,4593.767762395054,9533.319483937496,"160.55771404015354,-55.15749591695398",111998877.07134558,247.08163236935312,1226513223.081469
