id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,5032.429476690906,9962.491181581823,"314.19617817083673,4.869173080086798",0.0,0.0,0.0
2,4888.810450616622,9869.267128534004,"314.0525766754748,4.776622595609437",0.0,0.0,0.0
3,4745.229614126228,9776.067867223108,"313.90901408041077,4.684042341627122",0.0,0.0,0.0
4,4600.232960543817,9685.140778960762,"313.7640384413065,4.593666151580182",0.0,0.0,0.0
5,4456.720025176914,9591.985598643845,"313.6205506356585,4.501027870044714",0.0,0.0,0.0
6,4310.995729512201,9497.395012658511,"313.4748581425182,4.406913305634301",0.0,0.0,0.0
7,4167.541227469985,9404.277767094347,"313.33144295495185,4.31421882856465",0.0,0.0,0.0
8,4024.1121264574604,9311.177012133909,"313.1880629089481,4.221497519050483",0.0,0.0,0.0
9,3838.9226003480626,9194.160511121845,"313.0029541414561,4.104892917594491",0.0,0.0,0.0
10,3695.5409807529168,9101.09058334387,"312.8596506558336,4.0121121788620675",0.0,0.0,0.0
11,3552.1762547063486,9008.031623910974,"312.71637969023044,3.9193064108585975",0.0,0.0,0.0
12,3406.586137892023,8913.528151812781,"312.57090263014607,3.825025539120966",0.0,0.0,0.0
13,3263.247747343838,8820.486292231453,"312.42769492118975,3.732171101727265",0.0,0.0,0.0
14,3119.9186381732484,8727.450459887134,"312.2845174999057,3.639293427809691",0.0,0.0,0.0
15,2974.3567999054926,8632.965351646455,"312.1391330546316,3.544941291877354",0.0,0.0,0.0
16,2831.038574676111,8539.936589451952,"311.996014274026,3.452018484108623",0.0,0.0,0.0
17,2647.4140718393337,8420.744772586413,"311.8126841047983,3.3329297909839757",0.0,0.0,0.0
18,2504.095772071514,8327.71596802648,"311.66962802981584,3.2399587873055866",0.0,0.0,0.0
19,2358.5337912045316,8233.230778736379,"311.52436353967755,3.1455144521917737",0.0,0.0,0.0
20,2215.2044757483104,8140.194829144239,"311.3813596315488,3.0525034114236695",0.0,0.0,0.0
21,2071.8658135251517,8047.152815147938,"311.23838040916206,2.959473349116517",0.0,0.0,0.0
22,1926.2753538341635,7952.649148162854,"311.09319167332194,2.864970852040682",0.0,0.0,0.0
23,1782.910224226869,7859.589959347712,"310.9502599969882,2.7719042742274826",0.0,0.0,0.0
24,1639.5281355844577,7766.519764960791,"310.8073507705838,2.6788204579026083",0.0,0.0,0.0
25,1457.252684117007,7645.012431059909,"310.6257357624257,2.5573031647430766",0.0,0.0,0.0
26,1313.8229645123488,7551.911324436282,"310.48287502430895,2.4641825991094777",0.0,0.0,0.0
27,1170.367778223138,7458.793689875134,"310.34003407271456,2.3710466083458153",0.0,0.0,0.0
28,1024.642720352413,7364.202670560876,"310.19498100658785,2.276440372624947",0.0,0.0,0.0
29,881.1289682000543,7271.047025871751,"310.0521781420453,2.183275383019144",0.0,0.0,0.0
30,739.0461838896244,7175.629029011013,"309.9108485364927,2.0878692021320893",0.0,0.0,0.0
31,595.464398824457,7082.429228310286,"309.7680801911477,1.9946780760763598",0.0,0.0,0.0
32,451.8443581314132,6989.204598296505,"309.62532782356413,1.901474450419655",0.0,0.0,0.0
33,5127.440757792438,9819.975639853048,"314.29117802280797,4.7276781282066604",0.0,0.0,0.0
34,4981.6080851846355,9725.314650768818,"314.145362925493,4.633681331562309",0.0,0.0,0.0
35,4838.057520171062,9632.134995913146,"314.0018291980983,4.541101561060633",0.0,0.0,0.0
36,4693.091484908373,9541.226394039746,"313.8568815689972,4.450726769734013",0.0,0.0,0.0
37,4549.608826775427,9448.090823681541,"313.71342029443036,4.358090773390419",0.0,0.0,0.0
38,4406.156528927331,9354.97496289458,"313.5699943408412,4.265427547378915",0.0,0.0,0.0
39,4260.491037958626,9260.422505985103,"313.4243625292597,4.171289058279359",0.0,0.0,0.0
40,4117.09219670634,9167.341349284543,"313.2810054814726,4.078572731807313",0.0,0.0,0.0
41,3931.9418948138846,9050.348907010222,"313.0959248279702,3.9619758870331934",0.0,0.0,0.0
42,3788.5905450366563,8957.298583745891,"312.9526416784128,3.8692021773877907",0.0,0.0,0.0
43,3645.2560853124714,8864.259226436181,"312.809389878954,3.7764043303753647",0.0,0.0,0.0
44,3499.6967047045164,8769.775660654323,"312.6639310874039,3.682132415695492",0.0,0.0,0.0
45,3356.3885750619684,8676.753399433072,"312.5207401876664,3.589287695232651",0.0,0.0,0.0
46,3213.0897249084815,8583.737164099335,"312.37757840687266,3.4964206283835813",0.0,0.0,0.0
47,3067.558617094537,8489.271958062083,"312.23220865063803,3.402080175798022",0.0,0.0,0.0
48,2924.2706487276923,8396.262791228008,"312.08910315605874,3.309169767608915",0.0,0.0,0.0
49,2740.684912183396,8277.096080530788,"311.9057883034219,3.1900982598512755",0.0,0.0,0.0
50,2597.3968694561186,8184.086871158223,"311.7627428517636,3.097141681888321",0.0,0.0,0.0
51,2451.865619383651,8089.621583740554,"311.6174879569465,3.0027129061368467",0.0,0.0,0.0
52,2308.5665634373763,7996.605230680203,"311.47449232132755,2.9097180791261623",0.0,0.0,0.0
53,2165.258162768764,7903.582814413399,"311.33152020581446,2.816705116953444",0.0,0.0,0.0
54,2019.6984401032214,7809.099052948875,"311.1863374952459,2.722220893983418",0.0,0.0,0.0
55,1876.3635777822738,7716.059465320435,"311.04341057764054,2.6291732015164127",0.0,0.0,0.0
56,1733.0117600780409,7623.008874358844,"310.9005049456695,2.536109155565336",0.0,0.0,0.0
57,1550.7743060772304,7501.527492189687,"310.7188923509677,2.414618268461001",0.0,0.0,0.0
58,1407.3748477096105,7408.445982390925,"310.57603254510127,2.3215194815716846",0.0,0.0,0.0
59,1261.708662941167,7313.8931284968585,"310.43095957820526,2.226951122393718",0.0,0.0,0.0
60,1118.2556158921975,7220.776839014163,"310.28813687304614,2.1338238382671677",0.0,0.0,0.0
61,974.7721429228345,7127.640802390166,"310.14533143569423,2.040683291211877",0.0,0.0,0.0
62,832.7187514398811,7032.243183222336,"310.00399756595056,1.9453021728667426",0.0,0.0,0.0
63,689.1672401139185,6939.06298677853,"309.86122431780296,1.8521372452564708",0.0,0.0,0.0
64,543.3335389675967,6844.401409026015,"309.7162353650675,1.7575047045693557",0.0,0.0,0.0
65,5220.1898937592805,9676.075472530316,"314.3839160030126,4.584737709892693",0.0,0.0,0.0
66,5076.629530126053,9582.88941196776,"314.24037348491004,4.492186261390688",0.0,0.0,0.0
67,4930.865095897647,9488.2726758208,"314.094625499431,4.398160030075271",0.0,0.0,0.0
68,4785.928371398704,9397.381768876065,"313.9497053352563,4.307786051498541",0.0,0.0,0.0
69,4642.474709096008,9304.264976744164,"313.80627006619466,4.215151760071014",0.0,0.0,0.0
70,4499.05140101274,9211.167890129005,"313.66286894747947,4.122491134122555",0.0,0.0,0.0
71,4355.655733872252,9118.088747823347,"313.51950105975897,4.029804652347008",0.0,0.0,0.0
72,4210.045484987919,9023.572107269738,"313.37392658958,3.935644277211943",0.0,0.0,0.0
73,4027.172254550357,8908.056383393534,"313.1911120524153,3.8205037105303257",0.0,0.0,0.0
