id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,8954.316485210762,7997.496239687671,"202.4901502246132,-46.76564555380294",3697521.324749227,8.157131826041049,40492002.384467766
2,8792.881036873787,8054.538028386259,"202.25033310234244,-46.72057024966083",3853971.114393946,8.502276977671759,42205302.91716261
3,8631.488595766325,8111.564618398916,"202.01091891433276,-46.67499486926507",4012398.247485894,8.851784362741519,43940257.57664889
4,8471.03467765197,8171.0983908045855,"201.7729633727636,-46.62636042727468",5540277.661876819,12.22245154836659,60672249.486091755
5,8309.718721560394,8228.097949769352,"201.53437422556183,-46.57979163624693",5252956.833546459,11.588590735348289,57525764.410268895
6,8145.917164546903,8285.975771204567,"201.29247850260012,-46.53198840117608",3041046.5699994555,6.708877537656373,33302868.09692623
7,7984.667052779002,8342.952059705174,"201.05472198127015,-46.484423253509334",4603306.598771144,10.155392075908463,50411366.26480959
8,7823.44557374489,8399.918228625202,"200.8173833429239,-46.436366402406",3997950.606777192,8.819911305229361,43782039.71915855
9,7617.813316785993,8475.41536379054,"200.51501559481102,-46.37152765410057",11276307.186530182,24.876752871114046,123488201.25221013
10,7456.645393874445,8532.362602704805,"200.27865010551585,-46.322357428418506",4304594.319896345,9.496400491321962,47140132.03892221
11,7295.496541282655,8589.303100834386,"200.04271125761937,-46.27270107000075",3522283.769239841,7.770538831540821,38572954.759768635
12,7131.846325567484,8647.12743061706,"199.80352530436193,-46.22177301893114",3800632.125102028,8.384605400172074,41621181.206454165
13,6970.727239359345,8704.057406108126,"199.5684544451243,-46.17114204374576",3524681.132172296,7.775827673377649,38599208.57064665
14,6809.618667468329,8760.983664002088,"199.33381816681245,-46.120030172552234",7100192.373360107,15.66379206309992,77755063.80122802
15,6646.000488135504,8818.79666648967,"199.09596292623252,-46.067629215761414",3370149.0942697106,7.434913289441365,36906909.56878693
16,6484.904315301686,8875.718538334564,"198.86220997023918,-46.01555332142858",3422797.8008783115,7.551062028706863,37483471.91050087
17,6278.502181908064,8948.648856915026,"198.56336012437416,-45.94813625142895",3251031.4988087853,7.17212699461406,35602438.40126419
18,6117.406112895655,9005.57068646833,"198.33061869358124,-45.8949779605514",3297823.967349181,7.275356239512538,36114868.37294024
19,5953.7881321832465,9063.383608048332,"198.09469836770498,-45.84050640553038",3757383.6171486555,8.289194515508909,41147561.57498622
20,5792.679847619476,9120.309748900903,"197.8628606300402,-45.78639947996751",3421515.298666483,7.548232690160779,37469427.07395811
21,5631.561139818312,9177.239570251048,"197.63147445216907,-45.731824598760525",3620214.8860307713,7.986585463696275,39645410.241788305
22,5467.91140168635,9235.063705496417,"197.39693732556796,-45.67591987836153",3775346.5529170725,8.328822694003762,41344275.85303467
23,5306.763111205928,9292.003974660338,"197.16646786554566,-45.6204072954239",5004236.729862325,11.039887294489654,54802000.529846646
24,5145.595841624442,9348.95094745683,"196.93645628642173,-45.56443223273352",5785441.819196952,12.763310187069973,63357071.76861534
25,4938.181084183982,9419.40023668529,"196.64116069394666,-45.49455074830577",6525302.508912714,14.395522863849179,71459375.49614732
26,4776.960466813555,9476.366054630229,"196.41219228991386,-45.43752477241557",4577454.38002557,10.098359286160429,50128255.496500365
27,4615.711308171729,9533.341954910255,"196.1836878602306,-45.380042219845755",3963208.2541817254,8.743265918988826,43401572.021860525
28,4451.910812888478,9591.21934390035,"195.95209029252504,-45.32119618477059",3421537.4685786497,7.548281599384076,37469669.85934255
29,4290.595994567164,9648.218439461962,"195.72452730065783,-45.262799150201545",3163087.4944275296,6.978113012261574,34639352.99286646
30,4128.359846920716,9702.704294380426,"195.4961246173795,-45.20644650183183",4401358.362995996,9.709872432728035,48199806.75606197
31,3966.968727226425,9759.730346207438,"195.26949396272826,-45.14714652787198",3921259.8306347793,8.65072316109405,42942189.77167085
32,3805.534692324579,9816.771559262044,"195.04333592481544,-45.087399230190556",5163161.44111388,11.390492390778684,56542404.22782537
33,8899.238725228854,7835.316428794211,"202.42836317984555,-46.93055448805288",3635539.497035567,8.020393212501455,39813231.90685722
34,8735.315016038794,7893.237476151709,"202.18409788374103,-46.8846616807592",4878325.366151653,10.762113212347153,53423129.98609126
35,8573.95659820721,7950.252097117911,"201.94400119525858,-46.83896823384145",4796389.733272729,10.58135434716635,52525842.979333766
36,8413.536028041497,8009.772942499205,"201.7053736973839,-46.7902136013617",6022681.7152963625,13.286687048732947,65955114.509910345
37,8252.254101437917,8066.760530110076,"201.46611128964128,-46.74352145446567",3481005.1706478316,7.679473779919492,38120907.84352036
38,8091.006381674281,8123.736028523053,"201.22726524514812,-46.69633154422053",5150084.931225925,11.36164419610659,56399201.78947312
39,7927.271001975936,8181.59051766935,"200.9851161263787,-46.64789647086084",3882361.8755985457,8.564910066556859,42516213.57038824
40,7766.083532398248,8238.544722150229,"200.74711831323222,-46.59970840168664",4027792.57438102,8.885745912338592,44108842.708848774
41,7560.4942942907455,8314.025526841742,"200.44391933779863,-46.53469841418756",4340664.347447283,9.575974872065228,47535139.26493179
42,7399.360391844403,8370.960797309854,"200.20690561464656,-46.48539115511604",5090487.059592799,11.230164847438914,55746538.30268677
43,7238.245555658737,8427.889328377414,"199.9703233477764,-46.435595237120175",3520774.571038223,7.767209377130424,38556427.34807543
44,7074.6298843202185,8485.7015053118,"199.73048888241632,-46.38452287980342",5900031.846370171,13.016108176724561,64611960.989260726
45,6913.544808167231,8542.619515886752,"199.49478440257892,-46.333747311321304",3740251.221808809,8.251398598999229,40959942.64543217
46,6752.470244078466,8599.53380961333,"199.25951940937165,-46.28248837853326",8073236.77825666,17.810433227872963,88410990.54316138
47,6588.886602257162,8657.334661533438,"199.02103067992846,-46.22993555565648",4157536.021536844,9.171973984893881,45529678.861013226
48,6427.824434540783,8714.244570067109,"198.78665898086453,-46.17770768330491",3269718.861202508,7.21335333657084,35807085.96273765
49,6221.4658696615315,8787.159560781754,"198.48702366223557,-46.11009237239536",3336478.7188955303,7.360632800855378,36538181.22344609
50,6060.403805668412,8844.069426958315,"198.25367490187242,-46.056776634713216",2807949.34552617,6.1946398575148445,30750192.252703685
51,5896.820362279735,8901.870197845568,"198.0171429187277,-46.002142752002634",3738620.813068551,8.24780174103506,40942087.84249804
52,5735.7460852465,8958.78437434947,"197.78470803987,-45.94787363258663",3421860.942484988,7.548995217796125,37473212.26113996
53,5574.661387142738,9015.702230544788,"197.55272980882074,-45.89313423204418",3488625.402035366,7.696284834275553,38204357.91734385
54,5411.046192935891,9073.514212640557,"197.31759660787475,-45.83706006181101",2779155.161932298,6.131116775220148,30434863.672192812
55,5249.9319183301495,9130.442514387967,"197.08654541335122,-45.78137833243261",3174142.7914068326,7.002502192719465,34760420.884659424
56,5088.798668596299,9187.377518326295,"196.85595724832925,-45.72523185757547",4449701.383044085,9.816522361901319,48729217.00447816
57,4881.427679869878,9257.812605846013,"196.55992291491683,-45.65512650158602",3921152.600646106,8.650486600145108,42941015.48312032
58,4720.241071141861,9314.766458808497,"196.33038967814952,-45.597923998274084",3833546.3712583543,8.457217785949222,41981629.08945194
59,4556.506659273505,9372.620552761797,"196.09775017137858,-45.539358115532416",3700518.283161755,8.16374344033642,40524822.437829986
60,4395.259984632994,9429.595624432117,"195.8691650260525,-45.48123292998881",3545727.6133262753,7.82225848639235,38829691.12645163
61,4233.979194725167,9486.58274792298,"195.6410529454513,-45.42265279265012",3904266.5789354863,8.613234210499929,42756094.62092165
62,4071.7771441482364,9541.057803002954,"195.41209859223187,-45.3661138239535",3524120.494367147,7.774590845762174,38593068.95836342
63,3910.4200464827663,9598.071884951147,"195.1849293055041,-45.306626465016514",3420161.1287089405,7.545245244818788,37454597.39528046
64,3746.497772188739,9655.992346468309,"194.95469960058273,-45.24574959870701",4438557.676926597,9.791938141325613,48607180.93354034
65,8841.684503668279,7674.086152927435,"202.36245655455681,-47.09473218889748",4219880.803937636,9.3095133157167,46212424.0992177
66,8680.31498713851,7731.1047508726715,"202.12125350716929,-47.049432898146605",3963304.9640551154,8.743479271425995,43402631.103358634
67,8516.468059258223,7788.998719232903,"201.87670330847146,-47.00290841644212",4061819.341615281,8.96081263990174,44481473.94447224
68,8356.07941270681,7848.507191746714,"201.63739858126982,-46.95403244829829",4203892.856931911,9.274242175972208,46037338.16152605
69,8194.830075272494,7905.483316884683,"201.39745763513696,-46.90721578203384",4036437.0911861965,8.904816651073828,44203509.855930485
70,8033.614937733239,7962.44735522359,"201.1579377526916,-46.85989871493929",3804115.180397696,8.392289396749453,41659324.56546428
71,7872.430950332966,8019.400384370361,"200.91884167165745,-46.81208289960416",3408328.764813222,7.519141770725204,37325019.74987992
72,7708.757743296144,8077.232956085431,"200.67644704926298,-46.76301133264796",3717984.4633265743,8.202275722259493,40716096.685296126
73,7505.727019538815,8151.808651761402,"200.37612742927382,-46.698597227233186",4007127.2122827163,8.840155889168093,43882533.83383041
74,7342.108375227418,8209.621937458167,"200.134743631145,-46.64838304949376",3056281.403493218,6.742487227565284,33469706.59763407
75,7181.026116608184,8266.539009822149,"199.89751308844066,-46.59844634022087",4659631.194366927,10.279650223724397,51028183.7105679
76,7017.443528473751,8324.33955015709,"199.65702524763276,-46.5472284156087",6411715.515430829,14.144937674967746,70215470.61853988
77,6856.3910238038125,8381.24610407988,"199.4206824272413,-46.49630700250854",2956536.6597365974,6.522439538230423,32377389.867775816
78,6695.349029039796,8438.14894186956,"199.18478406743586,-46.44489974747916",3461411.7620621477,7.63624860209966,37906338.06082271
79,6531.798463846132,8495.938159369201,"198.94565719479533,-46.39219376890545",2953333.3805398163,6.51537275797716,32342310.37059863
80,6370.7688628822125,8552.836612782388,"198.71066223907977,-46.33981263991618",3050402.2545846025,6.729517189407152,33405323.3282171
81,6164.452023634226,8625.736926742942,"198.4102357651674,-46.2719974374708",3718479.503868464,8.203367835219709,40721517.93403064
82,6003.422526298236,8682.635337732532,"198.17627531869846,-46.21852295535461",2972855.438876787,6.5584405294337955,32556098.788109362
83,5839.872159354801,8740.424474072117,"197.93912732433014,-46.16372541897579",3351459.442439377,7.393681896739882,36702236.93541677
84,5678.830451382616,8797.327194455193,"197.7060910869604,-46.10929279245264",3118613.16776427,6.8799978389863465,34152309.27272822
85,5517.7783244144575,8854.233593756036,"197.47351665458783,-46.054387551975495",3611149.15401424,7.9665854786621315,39546130.31607883
86,5354.196212973295,8912.033938946654,"197.23778323718895,-45.99814258343345",5722122.578297623,12.62362109543892,62663655.11775879
87,5193.1145154180695,8968.950781630649,"197.00614629956982,-45.94229037302756",3575741.399658974,7.888472144194866,39158375.723783314
88,5029.496534131238,9026.76379591271,"196.77136939814872,-45.88508747928545",3052589.577299016,6.734342659812999,33429276.963311724
89,4824.6847667402335,9096.295817094804,"196.4781995065917,-45.81564017900339",4492838.706995272,9.911687962634218,49201619.04651626
