id,xcenter,ycenter,sky_center,aperture_sum
1,891.3621733933787,4544.979650735763,"106.39898096249482,84.9753232815884",163787382.6719674
2,957.8716994213733,4692.780196861201,"107.94100190331598,85.08105320520683",143825144.65295157
3,1024.3792120525886,4840.5833047600945,"109.54938095271265,85.18308379669331",125708674.37385353
4,1088.9268852702799,4989.611352567474,"111.24404661610853,85.27897739986439",125710977.95611414
5,1155.4330606124759,5137.416140823696,"112.98948041475283,85.37283424931108",125713256.04386935
6,1222.9792643996634,5287.52918531975,"114.83420702106802,85.46360172686528",125715565.78157108
7,1289.4881240436766,5435.330391488588,"116.72197432794049,85.54821545496601",122396032.64070468
8,1355.999584536964,5583.12759203114,"118.6805312543064,85.62783299953259",96639207.7667687
9,1439.2628473597815,5773.709112739802,"121.30678461486833,85.71967099986693",94089288.523352
10,1505.783714416711,5921.4928387741875,"123.42186318546985,85.78681290235892",109080477.6748643
11,1572.3102824438715,6069.268431429823,"125.60225389899716,85.84805394366968",161455583.89482993
12,1639.8831075230519,6219.3433439461805,"127.87997341593987,85.90393976247466",142292601.97805017
13,1706.423961107645,6367.098570674769,"130.1804338339857,85.95249598873207",139846279.50681612
14,1772.9732698504504,6514.841679913006,"132.53278608704443,85.99439774110934",139848508.1823956
15,1840.5720603413142,6664.879632958141,"134.96846346522096,86.02992632506698",139850764.60945347
16,1907.1412630479172,6812.594465618238,"137.40517932012185,86.05780335275621",139852977.7731728
17,1992.449626495209,7001.830517491066,"140.57009345649067,86.08298023059557",139855800.25834328
18,2059.045844722202,7149.506907709794,"143.06281708906897,86.09426787955289",139857992.9141206
19,2126.696317069477,7299.471321003726,"145.6043510345432,86.09815291615554",135543758.830153
20,2193.320386209552,7447.108056644542,"148.10690315133502,86.09449375879852",90895123.73145969
21,2259.9596923915988,7594.723208719988,"150.6000565720118,86.083428951611",85485584.35138963
22,2327.6567635727724,7744.621364184293,"153.11302190012123,86.06467557185401",84980349.18350135
23,2394.3295541563707,7892.18895761493,"155.55952302614088,86.03891467038018",84982486.45384215
24,2461.0203535155847,8039.73098802881,"157.9701514778319,86.00605494822844",84984610.37850288
25,2548.4577437494895,8227.505983270044,"161.00443885197174,85.95642640882751",84987292.89023131
26,2615.1931122979986,8374.984831640679,"163.30786436378094,85.9080372974914",84989385.44357248
27,2681.949605533119,8522.43401861515,"165.55402886181662,85.85321664346466",85971995.0561532
28,2749.7716083150553,8672.155087338968,"167.77206216549044,85.79121514891831",132804903.38249606
29,2816.573275165595,8819.540007307625,"169.89014918406158,85.72420862418444",160114481.2368535
30,2885.3610609200646,8965.668154784156,"171.95583799896497,85.6539496099513",173055972.65768963
31,2952.2113880798615,9112.984398976634,"173.93710625611487,85.5759022391283",181362042.56324962
32,3019.087509569069,9260.264454395245,"175.8476382048943,85.49277130175022",183048763.8969934
33,1015.6413723707733,4464.399557260425,"105.11627819160891,85.10447259883331",163785893.22422472
34,1083.205808729098,4614.498644871863,"106.69629758856439,85.21482999463299",138240423.3322034
35,1149.7282514986878,4762.29176651877,"108.32342010018819,85.31978685673987",125707233.3688446
36,1214.2904819425016,4911.310778832464,"110.04294029948007,85.41865004687646",125709542.93178976
37,1280.8106191976021,5059.1069659397435,"111.8175759020442,85.51543868967111",125711827.79220185
38,1347.3310968265341,5206.90264700284,"113.66848469128037,85.60775661575323",125714108.9213087
39,1414.8923459528419,5357.005985067601,"115.62735564898856,85.69664509371536",201145942.09970126
40,1481.4163012405506,5504.79667343954,"117.63423708615066,85.77906887716783",100484881.9620955
41,1564.6950034504598,5695.37112152911,"120.33390688354028,85.87439029193771",102411147.16694811
42,1631.2272607572772,5843.149916019965,"122.51374542667722,85.94409817789494",131583844.26785052
43,1697.764732527563,5990.921270076407,"124.7663173956784,86.00775592240603",171352124.5729342
44,1765.3481336857953,6140.992587072795,"127.12486653412743,86.06591355849827",161106582.08407083
45,1831.8989101796042,6288.744972022504,"129.5120687539638,86.11649725960389",140560071.08142918
46,1898.457655058457,6436.485932518009,"131.95782617357568,86.16019009391118",139847151.96211785
47,1966.0655307521952,6586.52241262716,"134.49453827901075,86.19726820049395",139849416.94464386
48,2032.6431880188165,6734.236493492141,"137.03597247383593,86.22638105962332",139851639.26382303
49,2117.9616717711406,6923.472594999548,"140.3410186237096,86.25268865176015",139854474.33012336
50,2184.5652327281014,7071.1498144900215,"142.94629795767142,86.26448654741701",139856676.1957645
51,2252.2226632990833,7221.115779402606,"145.60355009075678,86.26854517900621",139858902.98098677
52,2318.8530917925614,7368.754741250883,"148.2200514427124,86.26471449454776",137668981.58134732
53,2385.498269041695,7516.372812559979,"150.82580464205978,86.25314136023881",139129214.9090435
54,2453.2008029197436,7666.274642196144,"153.45040972785213,86.23353616036914",130399728.81178093
55,2519.8784794146045,7813.846551652243,"156.002941551618,86.20662075818825",118191665.02262345
56,2586.5736754069844,7961.393591017588,"158.51467868569515,86.17231252135633",105481844.30257885
57,2674.015755358196,8149.175758037685,"161.67079330683237,86.12042738371703",92642361.99726024
58,2740.75439771185,8296.661195936245,"164.06119285341225,86.07000791119776",85086649.80907983
59,2808.5569729165313,8446.421471913643,"166.42302809817687,86.01200545952474",88830074.0651675
60,2875.338001008911,8593.846839009248,"168.67882953391052,85.94848927447582",98719282.68777423
61,2942.141460800984,8741.240437393544,"170.86186187908066,85.87891190729506",99694418.52662155
62,3010.9302935833603,8887.377697613652,"172.98627853769733,85.8059387789977",105405746.34975493
63,3077.781423865831,9034.70400525243,"175.0179756808795,85.72510143233102",118608564.91783312
64,3145.7030217662923,9184.295982973512,"177.00197907187805,85.63772769755668",153357358.0939829
65,1140.9540682389156,4386.112502718835,"103.78863802871986,85.23280552171317",151388440.75557652
66,1207.4941514889306,4533.8916145650355,"105.35553479719768,85.34449940423198",134428679.08053437
67,1275.0708746768323,4683.983870404663,"107.02427748334566,85.45421650207756",125705795.12444429
68,1339.6473246471955,4832.993834491013,"108.76685337593845,85.55618140050791",125708111.07279056
69,1406.181093430524,4980.781418680785,"110.56921604859596,85.65604275101921",125731462.8195865
70,1472.7147157881523,5128.569189622047,"112.45427291137182,85.75142355471195",125712690.4450628
71,1539.2491877558768,5276.3560122669805,"114.42351910128741,85.84201556093436",935023598.2824141
72,1606.824935838712,5426.449378018706,"116.5105613814768,85.92879238663873",1057362552.5274522
73,1689.0789598046154,5614.707775048135,"119.25107641198898,86.02664800047954",162316064.8760265
74,1756.6619613011308,5764.790603117454,"121.5326119237942,86.10028265661748",169344621.29625258
75,1823.2100050392523,5912.557717720032,"123.86092077972309,86.16653774575923",171350744.3714953
76,1890.8036451240687,6062.625438477248,"126.30507076098905,86.22714597614282",171353039.2421143
77,1957.3640123799878,6210.374981086464,"128.78488380511862,86.27992419225788",188681523.12551507
78,2023.9318610763721,6358.1137924229615,"131.33106374402,86.32556166625248",139845796.78407246
79,2091.5484842953506,6508.148799322145,"133.97704861416412,86.3643267644981",139848070.66200623
80,2158.13426348422,6655.862128268785,"136.63229055830823,86.39478822713906",139850301.96819773
81,2243.462441138095,6845.0982794653555,"140.09026232338044,86.42233222010451",139853148.88154206
82,2310.0730118683414,6992.776328435969,"142.81870918601308,86.43468890525797",139855360.30494925
83,2377.73706237539,7142.7438453276045,"145.60273698086598,86.43893788644132",139857597.024082
84,2444.373517021467,7290.385033884826,"148.34407691722126,86.434919501965",147497461.4335097
85,2511.0242320289617,7438.00602507431,"151.07304964833494,86.42279005107574",182629885.33266747
86,2578.73188998556,7587.911529688046,"153.819543373455,86.4022535444551",223632544.99868742
87,2645.414118891937,7735.487756109338,"156.48744355224318,86.3740779397129",230059146.33346403
88,2713.155672688669,7885.345060526386,"159.14923356515902,86.3375711660067",224095445.5342019
89,2799.5597277560055,8070.829156738186,"162.39597152246466,86.28385569874214",173304296.8131917
90,2867.344322418618,8220.62556644825,"164.9174824917724,86.23036134322028",97130682.2775414
91,2934.1063691952295,8368.088864720967,"167.32692709236298,86.17078178746138",95369635.10558344
92,3000.8893479393537,8515.522219322867,"169.65868952483953,86.10466372566984",98105363.26313622
93,3067.694266812602,8662.924497976306,"171.9091679922629,86.03233395939259",98469376.50024325
94,3136.4838204209304,8809.070883758424,"174.09394555694408,85.95646546316418",98795842.35432969
95,3204.380188206449,8958.709153891301,"176.20856486911057,85.87131318794778",98880342.4304024
96,3271.2569896481564,9106.010166414639,"178.2047335338553,85.78221828193107",114109569.03617057
97,1266.2612047097737,4307.809969209815,"102.38829230512539,85.35843445149591",124923313.99253272
98,1332.8160535427855,4455.578387273103,"103.96396248028607,85.47323800067552",107926049.34626865
99,1399.3674131417629,4603.351465225185,"105.62013605682499,85.58445672819545",124012201.03152373
100,1464.9976060650743,4754.661394486412,"107.40993999484687,85.6913660411504",125706682.44911462
101,1531.5446761500912,4902.440374086163,"109.23798459791932,85.79444541916331",125708979.82424217
102,1598.0911127737727,5050.220233370601,"111.15566759976961,85.8930479096504",131622038.88012719
103,1664.6379120619263,5197.999837352772,"113.16516608080777,85.98684361511383",1357411463.6023006
104,1729.226518880976,5347.002173793099,"115.28756819433306,86.07318929860813",1873677333.8417425
105,1814.494109578235,5536.337963486631,"118.11783775186552,86.17860124426441",818233065.7424839
106,1882.0880098384118,5686.415775483198,"120.46994312082893,86.25522818220891",171347093.95453733
107,1948.646293971899,5834.178649824653,"122.87754824356534,86.3242797389074",171349366.32947072
108,2015.2097381997382,5981.93416317204,"125.37263121065385,86.38661843552306",172115554.22379646
109,2082.8194621322273,6131.989473402444,"127.99102541014544,86.44269718642313",314505593.82442874
110,2149.396082552016,6279.726135187731,"130.64533864093758,86.49045252753758",243731342.53040323
111,2217.0211158537154,6429.759668619422,"133.4097925386086,86.53106063216369",139846725.91913754
112,2283.6146845657145,6577.472245532872,"136.18910998273373,86.56299932938131",139848966.0242499
113,2368.952130034153,6766.70844647258,"139.81459775734234,86.59190078984345",139851824.0901715
114,2435.5693778361106,6914.387325122496,"142.67838759868948,86.6048720370491",139854045.32876033
115,2503.239710258054,7064.35639433632,"145.60190986004454,86.60933064175764",145578937.17405856
116,2569.8818581257005,7211.999810078982,"148.48061399677897,86.6051059522205",181406612.3788703
117,2637.579388830792,7361.930179297488,"151.38955831736678,86.59209882280598",164689285.6020648
118,2704.250221565102,7509.532902118936,"154.22507433480916,86.5708061283176",167718970.75396594
119,2770.936669674597,7657.113446396963,"157.01891991653343,86.54124960723689",173085094.01003668
120,2838.682007631667,7806.97584567596,"159.80144808642436,86.5029885778836",220596471.27970606
121,2924.1712332582997,7995.996423752097,"163.21583127216135,86.4432913432057",225644295.89289874
122,2992.877096884281,8142.270165147247,"165.81004214156906,86.39071355852113",188200061.953966
123,3059.6412519579026,8289.740759581475,"168.3088766504354,86.32851969749836",102990995.54689877
124,3126.425847857656,8437.182103308729,"170.72018121951214,86.25960033396949",97739048.4025113
