id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,5577.258112799996,9928.47951504845,"79.21164137203318,-3.2841023200957076",1700520.6657672327,3.751532452489963,18622607.094160177
2,5424.2803957162,9851.594691302427,"79.05906881252966,-3.3605051052113892",2943417.699488511,6.49349769347406,32233722.550405234
3,5271.343422912613,9774.730366155327,"78.90647257413147,-3.4368839847415598",5752091.430175171,12.689735622974966,62991847.632447734
4,5117.248840150491,9700.279839102328,"78.75265754212982,-3.5108599091707333",3268391.430615253,7.210424881170818,35792549.11013194
5,4964.384326956556,9623.451972434988,"78.60001213307682,-3.5871890599769705",2812284.804924279,6.2042043497059005,30797670.391940095
6,4809.164425345634,9545.440337349206,"78.44495553551577,-3.664684835353001",3702803.2640083744,8.168784355140911,40549845.53891947
7,4656.362287922617,9468.643862296587,"78.29225807952544,-3.7409622444695634",3396086.67819847,7.492134404013365,37190955.18152235
8,4503.58727391922,9391.861040127413,"78.13953425487303,-3.817213026852508",5138394.050666603,11.33585284955057,56271173.54516902
9,4306.681206485995,9295.894123062788,"77.94262392082976,-3.9124888265949407",3114398.3353933203,6.8706994630596485,34106152.134628095
10,4153.95692302423,9219.136844449034,"77.78983768698505,-3.9886766988878555",3659256.864924667,8.072716290435622,40072963.66572242
11,4001.2507018988576,9142.388664717373,"77.63702315804869,-4.064836256314277",5477427.656265464,12.083797640515495,59983971.48751892
12,3846.1741557491796,9064.449211635882,"77.4817913917563,-4.142156259903282",4788671.671975295,10.564327469451477,52441321.55835713
13,3693.496123955493,8987.71524178648,"77.32891819806653,-4.218257082273336",3875709.274177458,8.550233708528932,42443360.12913762
14,3540.8280470674226,8910.98629612126,"77.17601513484065,-4.294327917216622",3101333.342712545,6.841876676591859,33963075.82260199
15,3385.7818326768215,8833.062151638951,"77.02069172770258,-4.371556155642701",5003031.141539422,11.03722763629863,54788797.98658639
16,3233.125488314858,8756.339144870686,"76.86772670711183,-4.447564943606418",3235902.997485959,7.1387518849710885,35436764.356996484
17,3037.53675062162,8658.038930567542,"76.67169411799792,-4.544904924200144",7373208.490626047,16.266095136855203,80744896.25934921
18,2884.8804859804613,8581.31601172458,"76.51865639061342,-4.620840783065725",2755832.3743170416,6.079664184032913,30179453.009539373
19,2729.8344241044388,8503.392035449615,"76.36319389704161,-4.697929508121706",2609025.6003050907,5.755792567510859,28571754.305123903
20,2577.1665678486024,8426.66333311051,"76.21008964946992,-4.773798537280032",4289210.503030759,9.46246212798642,46971662.00332459
21,2424.4888266294074,8349.929683709674,"76.056951534543,-4.849633613082206",2676447.258101992,5.9045320343797485,29310097.018661067
22,2269.4126472174144,8271.990635047638,"75.90138547319222,-4.926618268775953",2780550.725321672,6.134195538948303,30450146.65533938
23,2116.706857748893,8195.242931292565,"75.74817756627164,-5.002383193040055",3238557.414890681,7.144607816766999,35465833.20243138
24,1963.9830760058844,8118.486205866848,"75.59493423222087,-5.078112484535107",3267270.844517092,7.207952747078191,35780277.436496146
25,1769.4816310721294,8017.737096096014,"75.39972527243123,-5.17747255524533",4339712.727162007,9.573875494824758,47524717.9563101
26,1616.7072788274204,7940.955003410114,"75.2463986838752,-5.253118543675995",5331894.720164625,11.762736248155342,58390222.73584311
27,1463.9058734350292,7864.159335208699,"75.09303473234016,-5.3287271644833005",2508701.43204282,5.534466605067959,27473092.22755735
28,1308.6867873016486,7786.148598831918,"74.93723600360396,-5.40547819631",2778965.91787892,6.130699282376938,30432791.237719115
29,1155.823148030458,7709.321695145797,"74.78379567312841,-5.481009558025129",2373241.9561841916,5.235628355165453,25989659.155041303
30,1004.133370687935,7630.089226381426,"74.63150021147099,-5.558887018847477",2410392.9686192987,5.317587505441514,26396504.37701167
31,851.1974129750388,7553.22601941441,"74.47798117117405,-5.634339595136442",2619265.593882323,5.778383100511492,28683893.71093905
32,698.2207817359622,7476.342391574926,"74.32442210231564,-5.709752020706751",6609093.544058451,14.580374947040497,72376981.23710902
33,5656.04043869589,9776.402291698303,"79.29050158006119,-3.435037640243906",2868728.4209833876,6.328725069532667,31415791.245160162
34,5500.704763665263,9698.332440814193,"79.13553754222033,-3.5126677941565223",4160026.7499057874,9.177468800978467,45556955.12805711
35,5347.799973441042,9621.484344689416,"78.98293263742113,-3.589078447576703",3148201.809215922,6.945273581213731,34476338.057144955
36,5193.737795948674,9547.048896378066,"78.82910717153925,-3.6630853069357316",2955772.6839122293,6.520754124959222,32369023.476297576
37,5040.905471281144,9470.23726168197,"78.67645091494907,-3.73944407313042",3179382.724269451,7.014062051166768,34817804.021991834
38,4888.105551919585,9393.441934474347,"78.52376810150221,-3.8157763263096887",2902453.690712618,6.403126661001186,31785120.74520988
39,4732.94829208533,9315.461858921932,"78.3686716618846,-3.8932736803838357",3360281.5353369075,7.413144387534744,36798848.73972247
40,4580.2054477110205,9238.695259172435,"78.21593368009367,-3.969550831372628",2957899.991011489,6.525447194429029,32392319.873145703
41,4383.34093417773,9142.748033194222,"78.01900299841728,-4.064859031018842",2727172.3693305124,6.016437114253683,29865593.835155282
42,4230.64883083334,9066.006982237108,"77.86620011495113,-4.141070803237201",5283767.1014764905,11.656561517671758,57863171.37372261
43,4077.9747860024145,8989.275028226966,"77.71336783795846,-4.217253181013351",5908202.955483698,13.034134526906202,64701443.79156239
44,3922.9309155741375,8911.352052708382,"77.55811692179492,-4.2945952557871445",2816893.7834067135,6.214372254570426,30848143.871687587
45,3770.2850541007756,8834.634305553092,"77.405223765476,-4.370716720345641",3284696.0236981786,7.246394576398039,35971102.67723986
46,3617.649145418385,8757.921581508353,"77.2522996406895,-4.446807115755207",5339791.125228481,11.780156571501836,58476697.22093511
47,3462.6356003057863,8680.013911317234,"77.09695371792928,-4.524054112339792",5037517.925024533,11.11330920944906,55166466.91570512
48,3310.0114216429733,8603.3071248907,"76.94396542033742,-4.600080278225519",3111645.5628667967,6.864626549230685,34076006.19038112
