id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,6988.23352966446,9546.593396420958,"226.22643021202126,-20.04164528530283",8825644.28457739,19.47032553867046,96650695.97396016
2,6819.481883725768,9517.60178233583,"226.0480038581589,-20.072471024606966",12201694.99038254,26.91825842125343,133622234.80310203
3,6650.775180645286,9488.617903461558,"225.86950777947143,-20.10311752105674",12454427.301171608,27.475813224793676,136389936.8478758
4,6481.66414982185,9462.28053172012,"225.69043667170808,-20.13096627582103",12903170.277651193,28.465788749925302,141304175.3546292
5,6313.037371144173,9433.310411332575,"225.5118043708662,-20.161252461074866",14249474.37641382,31.435881156976112,156047714.0632294
6,6141.812330016082,9403.893923175801,"225.33031015178318,-20.19182734762862",15161197.487924153,33.44724091835423,166032103.91871044
7,5973.254351269743,9374.93565085407,"225.1515386185986,-20.22174982111111",16913950.45089602,37.314003465941504,185226713.2049336
8,5804.726288487133,9345.982532097798,"224.97269873834097,-20.251491251506657",13304904.247099519,29.35205732283502,145703612.55055302
9,5588.389345268479,9311.531840759193,"224.74297031757857,-20.286710244487278",13202880.69304971,29.12698233160371,144586340.29408082
10,5419.91723274705,9282.588365637883,"224.56397790788287,-20.316036763434923",12885210.334892184,28.42616717433281,141107493.85338807
11,5251.465039770273,9253.648326690058,"224.38491789032466,-20.34518112780768",15703136.158484584,34.64281622113918,171966939.72173485
12,5080.398105132486,9224.259090195781,"224.20299116423246,-20.374594062541437",13177860.120477175,29.0717842432327,144312336.9834071
13,4911.976996634115,9195.32441976765,"224.02379576396453,-20.403370199714093",13264119.939399883,29.26208273036602,145256978.6735369
14,4743.566863322848,9166.391648869841,"223.8445336967589,-20.43196311400502",12721703.036946211,28.06545239631716,139316905.69531834
15,4572.533369056961,9137.008200289714,"223.66240260420062,-20.46081491538318",13345517.300270908,29.441654109298316,146148370.99855685
16,4404.136164594587,9108.077678775124,"223.4830069348697,-20.489037488458766",12614827.806558616,27.829674082511424,138146502.1455867
17,4188.379666613147,9071.010884336032,"223.25306010383756,-20.52492833444703",12622385.531228095,27.846347240289102,138229267.7007951
18,4019.9825333103495,9042.080406979267,"223.0735147767147,-20.55273006793925",12707346.439505896,28.033780190098845,139159684.86365065
19,3848.9491751798196,9012.69704287553,"222.89109739727454,-20.58077681067403",12458149.09418027,27.48402390257873,136430694.65240085
20,3680.5392388046175,8983.76439417841,"222.7114212364385,-20.608205226850203",12982619.270264503,28.641061817819477,142174230.8636559
21,3512.118389669914,8954.82988467982,"222.53168057537218,-20.635447934126265",12970314.684691992,28.61391657164931,142039481.86166716
22,3341.051782373691,8925.440851280764,"222.34906583765317,-20.662925871466435",12897258.856298758,28.45274751526674,141239438.66578412
23,3172.5999746773705,8896.501051357016,"222.1691962591584,-20.689793228357594",16256617.306333547,35.86385547681912,178028178.5869301
24,3004.128309962318,8867.557854024784,"221.9892632166136,-20.716473865272164",14322107.502690159,31.59611768678538,156843128.19720265
25,2788.6984801582134,8827.831367447514,"221.75907186253025,-20.75301486511484",14979299.10946587,33.0459534282468,164040112.81781706
26,2620.1710079979157,8798.878614944737,"221.57899230098798,-20.779268540714977",13679889.422351472,30.17931516361265,149810120.4721732
27,2451.6136825728527,8769.920747701772,"221.39885015695924,-20.80533442915597",13830515.119087834,30.511611736574565,151459640.66035613
28,2280.389369217125,8740.504710717354,"221.21582996555358,-20.83161499909675",12737313.744146502,28.09989130426291,139487860.43436107
29,2111.763370443743,8711.535073740708,"221.03556335406648,-20.85730130943996",13282844.224967998,29.303390528837717,145462030.58515042
30,1943.5596245364482,8679.922051766367,"220.85565967489876,-20.88542962395217",12743567.306571912,28.11368733912146,139556343.95139894
31,1774.853827278877,8650.938734092697,"220.67526760492783,-20.910738155734787",12682478.877867542,27.978919660392506,138887357.19418842
32,1606.1031502585975,8621.947720175714,"220.4948146882231,-20.93585727540849",9656510.197113767,21.303305576664638,105749608.88256326
33,7019.302742125531,9378.15045242562,"226.2621389887113,-20.208555336650416",14439382.61460659,31.854839263700402,158127422.1050088
34,6847.950031536757,9348.712010946829,"226.08074206717637,-20.239921003280983",12459596.122343257,27.487216203161953,136446541.2324959
35,6679.278857474949,9319.73427215965,"225.90206480013254,-20.27062185550377",13359983.75581085,29.473568674362483,146306794.8995354
36,6510.203233445617,9293.401874776971,"225.72281026794778,-20.298523506037796",13592206.938721437,29.98587812431352,148849899.0090923
37,6341.611990381841,9264.437895362582,"225.543995160102,-20.328860825355918",13508338.981697278,29.80085634314145,147931450.8873542
38,6173.056490439746,9235.48007050551,"225.36511012554678,-20.35901625354295",13301113.432440674,29.343694375826892,145662098.8816047
39,6001.90057479375,9206.075508599486,"225.18335847084464,-20.389456351364153",13030030.657192357,28.745656463599424,142693438.68530753
40,5833.408026833673,9177.128526876422,"225.0043333496729,-20.41924404768118",12735528.268811792,28.09595235262526,139468307.4784318
41,5617.116590148699,9142.684553613875,"224.77436517339126,-20.454520070897534",13148045.401569176,29.00600974969265,143985832.39747432
42,5448.680004066656,9113.747217247641,"224.59518575086432,-20.48388915337409",13305087.783840155,29.352462224729233,145705622.48355588
43,5280.263333332912,9084.813316214713,"224.41593794225955,-20.513074456728127",14507382.857544404,32.004855151947964,158872100.97426972
