id,xcenter,ycenter,sky_center,aperture_sum_nLb,aperture_sum_phot,aperture_sum_Hz
1,7058.179314330999,9515.351943172835,"226.30107855340984,-20.071774107658662",9841672.9584154,21.711794648276314,107777348.63404362
2,6889.000337052588,9488.968117305898,"226.12214916961938,-20.10009392329187",14004851.788350139,30.896217278608052,153368822.57101035
3,6719.866416933214,9462.591331660744,"225.94315549118627,-20.12823328785424",13272690.967745872,29.28099134561456,145350841.03963068
4,6550.36906089034,9438.866977496524,"225.76363389404304,-20.15356693035549",13459249.82610578,29.692560358285693,147393869.61853018
5,6381.315268534459,9412.502714292432,"225.58451497129815,-20.181343685240947",13797054.782660633,30.437794616615466,151093212.47687915
6,6209.656634650513,9385.73223483047,"225.40253216412572,-20.209368778005338",12406558.587723406,27.370209667262753,135865720.7882923
7,6040.671817440034,9359.37875555521,"225.2232851360593,-20.23677957659583",12734707.59752092,28.09414186302492,139459320.2080557
8,5871.716992441651,9333.029967073882,"225.04397532092585,-20.26400826572922",13902055.186729642,30.669436860852304,152243084.57727084
9,5654.874137096435,9301.922091270091,"224.81369481270036,-20.295999708169635",14113093.579719016,31.13501037369389,154554191.49501646
10,5485.975405149887,9275.582080730113,"224.63424527971273,-20.322811192847464",12838296.153121933,28.322669416889386,140593730.98543888
11,5317.0966436830895,9249.245198071054,"224.45473378007313,-20.34943954786457",12879897.588324226,28.414446680978763,141049313.32437855
12,5145.596519796524,9222.49952399135,"224.27235431706995,-20.376296192287143",13236877.986094477,29.20198403591802,144958648.75429708
13,4976.74892251748,9196.167528548352,"224.09271888023912,-20.402554442465593",12866422.52590428,28.384719236328774,140901746.28913602
14,4807.912328711685,9169.83726256403,"223.91302249173222,-20.428628582690767",12857290.387716297,28.36457275210044,140801739.1414266
15,4636.445731390026,9143.09685819863,"223.7304561659648,-20.4549213743705",12740041.811380414,28.105909715545188,139517735.82796627
16,4467.622100168921,9116.768640860219,"223.55063776771325,-20.480623471987414",12936987.892080955,28.54039406378769,141674516.1326421
17,4251.319249754775,9083.036010562444,"223.3201577757359,-20.513283794072688",13162442.320945593,29.037770910461695,144143494.79953185
18,4082.4956910027468,9056.70783521517,"223.14020295544543,-20.53856327086726",14047643.272721348,30.99061991983463,153837437.2820591
19,3911.029232321636,9029.967511181148,"222.95737566213145,-20.564047596627592",12583987.838904446,27.76163777938531,137808769.93686867
20,3742.192839075884,9003.637361401414,"222.77730180282077,-20.588952310665153",16238327.437480848,35.82350604859166,177827884.02520898
21,3573.345505933069,8977.305518991394,"222.59716932893866,-20.613670642430034",13122319.194036204,28.949254954304212,143704101.5931661
22,3401.845715411154,8950.560038041218,"222.41416270377647,-20.63858410313626",13197957.397355005,29.116121008984287,144532424.68859798
23,3232.9673463136783,8924.223382677279,"222.23391324365952,-20.662925819386945",13514680.818216577,29.81484712019549,148000901.10465044
24,3064.069070412176,8897.88363629482,"222.05360627192638,-20.687080233153306",12839363.5563776,28.32502422388124,140605420.2473465
25,2848.051805546549,8861.48658425653,"221.82290225592996,-20.720389580546687",17599329.027366646,38.82602271018329,192732376.73334983
26,2679.097582033956,8835.138144053215,"221.64246240669405,-20.744115773965657",14214855.87626759,31.35950900262978,155668602.68905422
27,2510.1134301603006,8808.785049974944,"221.461965997964,-20.767653693549686",13740910.247190291,30.313933700904727,150478366.89129105
28,2338.4555374319825,8782.014999540295,"221.27859219349057,-20.79136633350725",13683275.482921373,30.186785179337715,149847201.63023242
